source,z_center,z_low,z_high,log10_L,phi_Mpc3_dex,sigma_phi,band_or_bol,absorbed_flag,fig_panel,notes
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.403090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,2.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,3.903090,,,bolometric,,,bolometric,,grid,grid@balanced
Hopkins2006,1.003090,,,bolometric,2.187415e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,1.626462e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,1.208821e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,8.973437e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,6.639934e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,4.871723e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,3.496579e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,2.377431e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,1.437339e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,7.117321e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,2.791034e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,9.151786e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,2.722698e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,7.759848e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.003090,,,bolometric,2.174044e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,2.187415e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,1.626462e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,1.208821e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,8.973437e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,6.639934e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,4.871723e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,3.496579e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,2.377431e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,1.437339e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,7.117321e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,2.791034e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,9.151786e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,2.722698e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,7.759848e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.203090,,,bolometric,2.174044e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,2.187415e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,1.626462e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,1.208821e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,8.973437e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,6.639934e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,4.871723e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,3.496579e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,2.377431e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,1.437339e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,7.117321e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,2.791034e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,9.151786e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,2.722698e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,7.759848e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.403090,,,bolometric,2.174044e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,2.187415e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,1.626462e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,1.208821e-05,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,8.973437e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,6.639934e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,4.871723e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,3.496579e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,2.377431e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,1.437339e-06,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,7.117321e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,2.791034e-07,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,9.151786e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,2.722698e-08,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,7.759848e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.603090,,,bolometric,2.174044e-09,,bolometric,,fit-sample,params@z=0.5
Hopkins2006,1.903090,,,bolometric,1.819586e-05,,bolometric,,fit-sample,params@z=1.0
