z,log10_Lbol_erg_s,phi_dex_Mpc3
0.100000,42.000000,3.571043e-04
0.100000,42.286000,1.897468e-04
0.100000,42.571000,1.006541e-04
0.100000,42.857000,5.311526e-05
0.100000,43.143000,2.757903e-05
0.100000,43.429000,1.364850e-05
0.100000,43.714000,5.952510e-06
0.100000,44.000000,2.187415e-05
0.100000,44.000000,2.017796e-06
0.100000,44.214000,1.626462e-05
0.100000,44.286000,4.998958e-07
0.100000,44.429000,1.208821e-05
0.100000,44.571000,9.885642e-08
0.100000,44.643000,8.973437e-06
0.100000,44.857000,6.639934e-06
0.100000,44.857000,1.760315e-08
0.100000,45.071000,4.871723e-06
0.100000,45.143000,3.016308e-09
0.100000,45.286000,3.496579e-06
0.100000,45.429000,5.102772e-10
0.100000,45.500000,2.377431e-06
0.100000,45.714000,1.437339e-06
0.100000,45.714000,8.597082e-11
0.100000,45.929000,7.117321e-07
0.100000,46.000000,1.446533e-11
0.100000,46.143000,2.791034e-07
0.100000,46.357000,9.151786e-08
0.100000,46.571000,2.722698e-08
0.100000,46.786000,7.759848e-09
0.100000,47.000000,2.174044e-09
0.300000,44.000000,2.187415e-05
0.300000,44.214000,1.626462e-05
0.300000,44.429000,1.208821e-05
0.300000,44.643000,8.973437e-06
0.300000,44.857000,6.639934e-06
0.300000,45.071000,4.871723e-06
0.300000,45.286000,3.496579e-06
0.300000,45.500000,2.377431e-06
0.300000,45.714000,1.437339e-06
0.300000,45.929000,7.117321e-07
0.300000,46.143000,2.791034e-07
0.300000,46.357000,9.151786e-08
0.300000,46.571000,2.722698e-08
0.300000,46.786000,7.759848e-09
0.300000,47.000000,2.174044e-09
0.500000,42.000000,7.235048e-04
0.500000,42.286000,5.273566e-04
0.500000,42.571000,4.019384e-04
0.500000,42.857000,2.339260e-04
0.500000,43.143000,1.214614e-04
0.500000,43.429000,6.010965e-05
0.500000,43.714000,2.621557e-05
0.500000,44.000000,2.187415e-05
0.500000,44.000000,8.886616e-06
0.500000,44.214000,1.626462e-05
0.500000,44.286000,2.201601e-06
0.500000,44.429000,1.208821e-05
0.500000,44.571000,4.353756e-07
0.500000,44.643000,8.973437e-06
0.500000,44.857000,6.639934e-06
0.500000,44.857000,7.752640e-08
0.500000,45.071000,4.871723e-06
0.500000,45.143000,1.328418e-08
0.500000,45.286000,3.496579e-06
0.500000,45.429000,2.247322e-09
0.500000,45.500000,2.377431e-06
0.500000,45.714000,1.437339e-06
0.500000,45.714000,3.786258e-10
0.500000,45.929000,7.117321e-07
0.500000,46.000000,6.370706e-11
