source,z_center,z_low,z_high,log10_L,phi_Mpc3_dex,sigma_phi,band_or_bol,absorbed_flag,fig_panel,notes
Hopkins2006,0.5,,,44.000,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,44.214,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,44.429,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,44.643,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,44.857,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,45.071,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,45.286,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,45.500,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,45.714,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,45.929,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,46.143,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,46.357,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,46.571,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,46.786,,,bolometric,,grid,grid@balanced
Hopkins2006,0.5,,,47.000,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,44.000,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,44.214,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,44.429,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,44.643,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,44.857,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,45.071,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,45.286,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,45.500,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,45.714,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,45.929,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,46.143,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,46.357,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,46.571,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,46.786,,,bolometric,,grid,grid@balanced
Hopkins2006,1.0,,,47.000,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,44.000,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,44.214,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,44.429,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,44.643,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,44.857,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,45.071,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,45.286,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,45.500,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,45.714,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,45.929,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,46.143,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,46.357,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,46.571,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,46.786,,,bolometric,,grid,grid@balanced
Hopkins2006,2.0,,,47.000,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,44.000,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,44.214,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,44.429,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,44.643,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,44.857,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,45.071,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,45.286,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,45.500,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,45.714,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,45.929,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,46.143,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,46.357,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,46.571,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,46.786,,,bolometric,,grid,grid@balanced
Hopkins2006,3.0,,,47.000,,,bolometric,,grid,grid@balanced
