a,E2
1.000000,1.0000000000
0.999001,1.0009009003
0.998004,1.0018036024
0.997009,1.0027081081
0.996016,1.0036144192
0.995025,1.0045225375
0.994036,1.0054324648
0.993049,1.0063442029
0.992063,1.0072577536
0.991080,1.0081731187
0.990099,1.0090903000
0.989120,1.0100092993
0.988142,1.0109301184
0.987167,1.0118527591
0.986193,1.0127772232
0.985222,1.0137035125
0.984252,1.0146316288
0.983284,1.0155615739
0.982318,1.0164933496
0.981354,1.0174269577
0.980392,1.0183624000
0.979432,1.0192996783
0.978474,1.0202387944
0.977517,1.0211797501
0.976562,1.0221225472
0.975610,1.0230671875
0.974659,1.0240136728
0.973710,1.0249620049
0.972763,1.0259121856
0.971817,1.0268642167
0.970874,1.0278181000
0.969932,1.0287738373
0.968992,1.0297314304
0.968054,1.0306908811
0.967118,1.0316521912
0.966184,1.0326153625
0.965251,1.0335803968
0.964320,1.0345472959
0.963391,1.0355160616
0.962464,1.0364866957
0.961538,1.0374592000
0.960615,1.0384335763
0.959693,1.0394098264
0.958773,1.0403879521
0.957854,1.0413679552
0.956938,1.0423498375
0.956023,1.0433336008
0.955110,1.0443192469
0.954198,1.0453067776
0.953289,1.0462961947
0.952381,1.0472875000
0.951475,1.0482806953
0.950570,1.0492757824
0.949668,1.0502727631
0.948767,1.0512716392
0.947867,1.0522724125
0.946970,1.0532750848
0.946074,1.0542796579
0.945180,1.0552861336
0.944287,1.0562945137
0.943396,1.0573048000
0.942507,1.0583169943
0.941620,1.0593310984
0.940734,1.0603471141
0.939850,1.0613650432
0.938967,1.0623848875
0.938086,1.0634066488
0.937207,1.0644303289
0.936330,1.0654559296
0.935454,1.0664834527
0.934579,1.0675129000
0.933707,1.0685442733
0.932836,1.0695775744
0.931966,1.0706128051
0.931099,1.0716499672
0.930233,1.0726890625
0.929368,1.0737300928
0.928505,1.0747730599
0.927644,1.0758179656
0.926784,1.0768648117
0.925926,1.0779136000
0.925069,1.0789643323
0.924214,1.0800170104
0.923361,1.0810716361
0.922509,1.0821282112
0.921659,1.0831867375
0.920810,1.0842472168
0.919963,1.0853096509
0.919118,1.0863740416
0.918274,1.0874403907
0.917431,1.0885087000
0.916590,1.0895789713
0.915751,1.0906512064
0.914913,1.0917254071
0.914077,1.0928015752
0.913242,1.0938797125
0.912409,1.0949598208
0.911577,1.0960419019
0.910747,1.0971259576
0.909918,1.0982119897
0.909091,1.0993000000
0.908265,1.1003899903
0.907441,1.1014819624
0.906618,1.1025759181
0.905797,1.1036718592
0.904977,1.1047697875
0.904159,1.1058697048
0.903342,1.1069716129
0.902527,1.1080755136
0.901713,1.1091814087
0.900901,1.1102893000
0.900090,1.1113991893
0.899281,1.1125110784
0.898473,1.1136249691
0.897666,1.1147408632
0.896861,1.1158587625
0.896057,1.1169786688
0.895255,1.1181005839
0.894454,1.1192245096
0.893655,1.1203504477
0.892857,1.1214784000
0.892061,1.1226083683
0.891266,1.1237403544
0.890472,1.1248743601
0.889680,1.1260103872
0.888889,1.1271484375
0.888099,1.1282885128
0.887311,1.1294306149
0.886525,1.1305747456
0.885740,1.1317209067
0.884956,1.1328691000
0.884173,1.1340193273
0.883392,1.1351715904
