a,E2
1.000000000,1.000000000
0.999001000,0.999540009
0.998004000,0.999076093
0.997009000,0.998608280
0.996016000,0.998136599
0.995025000,0.997661079
0.994036000,0.997181749
0.993049000,0.996698640
0.992063000,0.996210369
0.991080000,0.995719792
0.990099000,0.995225535
0.989120000,0.994727632
0.988142000,0.994224675
0.987167000,0.993719582
0.986193000,0.993209496
0.985222000,0.992697366
0.984252000,0.992180309
0.983284000,0.991659825
0.982318000,0.991135959
0.981354000,0.990608756
0.980392000,0.990078262
0.979432000,0.989544527
0.978474000,0.989007601
0.977517000,0.988466015
0.976562000,0.987921331
0.975610000,0.987375142
0.974659000,0.986824443
0.973710000,0.986270823
0.972763000,0.985714347
0.971817000,0.985153520
0.970874000,0.984591529
0.969932000,0.984025315
0.968992000,0.983456517
0.968054000,0.982885213
0.967118000,0.982311487
0.966184000,0.981735424
0.965251000,0.981155508
0.964320000,0.980573427
0.963391000,0.979989282
0.962464000,0.979403173
0.961538000,0.978813580
0.960615000,0.978223870
0.959693000,0.977630894
0.958773000,0.977036407
0.957854000,0.976438885
0.956938000,0.975841764
0.956023000,0.975241875
0.955110000,0.974641020
0.954198000,0.974037679
0.953289000,0.973435358
0.952381000,0.972830875
0.951475000,0.972226082
0.950570000,0.971619472
0.949668000,0.971014618
0.948767000,0.970408338
0.947867000,0.969800832
0.946970000,0.969195723
0.946074000,0.968589835
0.945180000,0.967985112
0.944287000,0.967380091
0.943396000,0.966776746
0.942507000,0.966175351
0.941620000,0.965576190
0.940734000,0.964977842
0.939850000,0.964382332
0.938967000,0.963788264
0.938086000,0.963197691
0.937207000,0.962610965
0.936330000,0.962028446
0.935454000,0.961448790
0.934579000,0.960872393
0.933707000,0.960303095
0.932836000,0.959737883
0.931966000,0.959177201
0.931099000,0.958624920
0.930233000,0.958078090
0.929368000,0.957537205
0.928505000,0.957004470
0.927644000,0.956480397
0.926784000,0.955963838
0.925926000,0.955457030
0.925069000,0.954958873
0.924214000,0.954471625
0.923361000,0.953995883
0.922509000,0.953530623
0.921659000,0.953078130
0.920810000,0.952637437
0.919963000,0.952210841
0.919118000,0.951799020
0.918274000,0.951401098
0.917431000,0.951017829
0.916590000,0.950651525
0.915751000,0.950302927
0.914913000,0.949971290
0.914077000,0.949658922
0.913242000,0.949365145
0.912409000,0.949092263
0.911577000,0.948839668
0.910747000,0.948609648
0.909918000,0.948401670
0.909091000,0.948218001
0.908265000,0.948058183
0.907441000,0.947924455
0.906618000,0.947816435
0.905797000,0.947736327
0.904977000,0.947683826
0.904159000,0.947661091
0.903342000,0.947667896
0.902527000,0.947706348
0.901713000,0.947776298
0.900901000,0.947879791
0.900090000,0.948016757
0.899281000,0.948189168
0.898473000,0.948397036
0.897666000,0.948641392
0.896861000,0.948924080
0.896057000,0.949245233
0.895255000,0.949606591
0.894454000,0.950008368
0.893655000,0.950452191
0.892857000,0.950938351
0.892061000,0.951468354
0.891266000,0.952042565
0.890472000,0.952661953
0.889680000,0.953327819
0.888889000,0.954040641
0.888099000,0.954801337
0.887311000,0.955610977
0.886525000,0.956470254
0.885740000,0.957379789
0.884956000,0.958340406
0.884173000,0.959352901
0.883392000,0.960417897
0.882613000,0.961535933
0.881834000,0.962708074
0.881057000,0.963934493
0.880282000,0.965215616
0.879507000,0.966552807
0.878735000,0.967945149
0.877963000,0.969394624
0.877193000,0.970900507
0.876424000,0.972463783
0.875657000,0.974083978
0.874891000,0.975762125
0.874126000,0.977498504
0.873362000,0.979293346
0.872600000,0.981145678
0.871840000,0.983055401
0.871080000,0.985024956
0.870322000,0.987051835
0.869565000,0.989137218
0.868810000,0.991279480
0.868056000,0.993479837
0.867303000,0.995738071
0.866551000,0.998053903
0.865801000,1.000425171
0.865052000,1.002853149
0.864304000,1.005337377
0.863558000,1.007875287
0.862813000,1.010468192
0.862069000,1.013115442
0.861326000,1.015816327
0.860585000,1.018567749
0.859845000,1.021371057
0.859107000,1.024222897
0.858369000,1.027127157
0.857633000,1.030077839
0.856898000,1.033076317
0.856164000,1.036121453
0.855432000,1.039209273
0.854701000,1.042341171
0.853971000,1.045515832
0.853242000,1.048731882
0.852515000,1.051984904
0.851789000,1.055276303
0.851064000,1.058604545
0.850340000,1.061968047
0.849618000,1.065361994
0.848896000,1.068791016
0.848176000,1.072246987
0.847458000,1.075728018
0.846740000,1.079238850
0.846024000,1.082771005
0.845309000,1.086325888
0.844595000,1.089901572
0.843882000,1.093496092
0.843170000,1.097107452
0.842460000,1.100730142
0.841751000,1.104365555
0.841043000,1.108011615
0.840336000,1.111666221
0.839631000,1.115323731
0.838926000,1.118989043
0.838223000,1.122652962
0.837521000,1.126316845
0.836820000,1.129978520
0.836120000,1.133635803
0.835422000,1.137283015
0.834725000,1.140921487
0.834028000,1.144552493
0.833333000,1.148166915
0.832639000,1.151766052
0.831947000,1.155344353
0.831255000,1.158906453
0.830565000,1.162443479
0.829876000,1.165956688
0.829187000,1.169447213
0.828500000,1.172906450
0.827815000,1.176332469
0.827130000,1.179729572
0.826446000,1.183092556
0.825764000,1.186416454
0.825083000,1.189702423
0.824402000,1.192951422
0.823723000,1.196155787
0.823045000,1.199316614
0.822368000,1.202432116
0.821693000,1.205497955
0.821018000,1.208517684
0.820345000,1.211484551
0.819672000,1.214401901
0.819001000,1.217263391
0.818331000,1.220069959
0.817661000,1.222822262
0.816993000,1.225514620
0.816327000,1.228145971
0.815661000,1.230718968
0.814996000,1.233230383
0.814332000,1.235679059
0.813670000,1.238062370
0.813008000,1.240382443
0.812348000,1.242635349
0.811688000,1.244822937
0.811030000,1.246941818
0.810373000,1.248992541
0.809717000,1.250974397
0.809061000,1.252887530
0.808407000,1.254729669
0.807754000,1.256501201
0.807103000,1.258201222
0.806452000,1.259830375
0.805802000,1.261387777
0.805153000,1.262873178
0.804505000,1.264286394
0.803859000,1.265627423
0.803213000,1.266896095
0.802568000,1.268092422
0.801925000,1.269216942
0.801282000,1.270268984
0.800641000,1.271249792
0.800000000,1.272158355
0.799361000,1.272996502
0.798722000,1.273762885
0.798085000,1.274459909
0.797448000,1.275085886
0.796813000,1.275643795
0.796178000,1.276131605
0.795545000,1.276552857
0.794913000,1.276906894
0.794281000,1.277192670
0.793651000,1.277414545
0.793021000,1.277569646
0.792393000,1.277662863
0.791766000,1.277693236
0.791139000,1.277659433
0.790514000,1.277567108
0.789889000,1.277412566
0.789266000,1.277201949
0.788644000,1.276933989
0.788022000,1.276607064
0.787402000,1.276228011
0.786782000,1.275792353
0.786164000,1.275307363
0.785546000,1.274768264
0.784929000,1.274179462
0.784314000,1.273545734
0.783699000,1.272861871
0.783085000,1.272132617
0.782473000,1.271363055
0.781861000,1.270547567
0.781250000,1.269691201
0.780640000,1.268795497
0.780031000,1.267862014
0.779423000,1.266892321
0.778816000,1.265888003
0.778210000,1.264850654
0.777605000,1.263781876
0.777001000,1.262683279
0.776398000,1.261556482
0.775795000,1.260398831
0.775194000,1.259220449
0.774593000,1.258014375
0.773994000,1.256790917
0.773395000,1.255542939
0.772798000,1.254280909
0.772201000,1.252997529
0.771605000,1.251698858
0.771010000,1.250386510
0.770416000,1.249062087
0.769823000,1.247727183
0.769231000,1.246383382
0.768640000,1.245032256
0.768049000,1.243670696
0.767460000,1.242309572
0.766871000,1.240941071
0.766284000,1.239576081
0.765697000,1.238206717
0.765111000,1.236839158
0.764526000,1.235474874
0.763942000,1.234115316
0.763359000,1.232761914
0.762777000,1.231416078
0.762195000,1.230074519
0.761615000,1.228747972
0.761035000,1.227428444
0.760456000,1.226121940
0.759878000,1.224829765
0.759301000,1.223553201
0.758725000,1.222293505
0.758150000,1.221051910
0.757576000,1.219829624
0.757002000,1.218623347
0.756430000,1.217443236
0.755858000,1.216281495
0.755287000,1.215143722
0.754717000,1.214031006
0.754148000,1.212944410
0.753580000,1.211884974
0.753012000,1.210849500
0.752445000,1.209843283
0.751880000,1.208871415
0.751315000,1.207926553
0.750751000,1.207013790
0.750188000,1.206134027
0.749625000,1.205284231
0.749064000,1.204473136
0.748503000,1.203693817
0.747943000,1.202951002
0.747384000,1.202245492
0.746826000,1.201578065
0.746269000,1.200949482
0.745712000,1.200357006
0.745156000,1.199804980
0.744602000,1.199297463
0.744048000,1.198828397
0.743494000,1.198398678
0.742942000,1.198015459
0.742390000,1.197673073
0.741840000,1.197378358
0.741290000,1.197125924
0.740741000,1.196919465
0.740192000,1.196756871
0.739645000,1.196644335
0.739098000,1.196577078
0.738552000,1.196558467
0.738007000,1.196589123
0.737463000,1.196669670
0.736920000,1.196800730
0.736377000,1.196980789
0.735835000,1.197212802
0.735294000,1.197497411
0.734754000,1.197835265
0.734214000,1.198225252
0.733676000,1.198671676
0.733138000,1.199171777
0.732601000,1.199728022
0.732064000,1.200339751
0.731529000,1.201010539
0.730994000,1.201738495
0.730460000,1.202525759
0.729927000,1.203373120
0.729395000,1.204281387
0.728863000,1.205250671
0.728332000,1.206282779
0.727802000,1.207378597
0.727273000,1.208539036
0.726744000,1.209764783
0.726216000,1.211057300
0.725689000,1.212417588
0.725163000,1.213846672
0.724638000,1.215345612
0.724113000,1.216915882
0.723589000,1.218558479
0.723066000,1.220274556
0.722543000,1.222066101
0.722022000,1.223932860
0.721501000,1.225877832
0.720981000,1.227901493
0.720461000,1.230006545
0.719942000,1.232193237
0.719424000,1.234462939
0.718907000,1.236817045
0.718391000,1.239256975
0.717875000,1.241786377
0.717360000,1.244404851
0.716846000,1.247113886
0.716332000,1.249917725
0.715820000,1.252812603
0.715308000,1.255805713
0.714796000,1.258899169
0.714286000,1.262088135
0.713776000,1.265380965
0.713267000,1.268775939
0.712758000,1.272278718
0.712251000,1.275882893
0.711744000,1.279598415
0.711238000,1.283422740
0.710732000,1.287362349
0.710227000,1.291414244
0.709723000,1.295579914
0.709220000,1.299860814
0.708717000,1.304264227
0.708215000,1.308786139
0.707714000,1.313427886
0.707214000,1.318190753
0.706714000,1.323082803
0.706215000,1.328098862
0.705716000,1.333247374
0.705219000,1.338514936
0.704722000,1.343917443
0.704225000,1.349456542
0.703730000,1.355117029
0.703235000,1.360916095
0.702741000,1.366846199
0.702247000,1.372917008
0.701754000,1.379120230
0.701262000,1.385456109
0.700771000,1.391924762
0.700280000,1.398536466
0.699790000,1.405281336
0.699301000,1.412159086
0.698812000,1.419180402
0.698324000,1.426334139
0.697837000,1.433619560
0.697350000,1.441047716
0.696864000,1.448606155
0.696379000,1.456293653
0.695894000,1.464121574
0.695410000,1.472076132
0.694927000,1.480155583
0.694444000,1.488371552
0.693963000,1.496695106
0.693481000,1.505165366
0.693001000,1.513738454
0.692521000,1.522440071
0.692042000,1.531253317
0.691563000,1.540190184
0.691085000,1.549232901
0.690608000,1.558378064
0.690131000,1.567637770
0.689655000,1.576992995
0.689180000,1.586439787
0.688705000,1.595990298
0.688231000,1.605624326
0.687758000,1.615337396
0.687285000,1.625141662
0.686813000,1.635015850
0.686342000,1.644954994
0.685871000,1.654971204
0.685401000,1.665042258
0.684932000,1.675162750
0.684463000,1.685344698
0.683995000,1.695565082
0.683527000,1.705835827
0.683060000,1.716133456
0.682594000,1.726451955
0.682128000,1.736803087
0.681663000,1.747162869
0.681199000,1.757525027
0.680735000,1.767901128
0.680272000,1.778266876
0.679810000,1.788615829
0.679348000,1.798959318
0.678887000,1.809272951
0.678426000,1.819567870
0.677966000,1.829819726
0.677507000,1.840021992
0.677048000,1.850185515
0.676590000,1.860286230
0.676133000,1.870317694
0.675676000,1.880290437
0.675219000,1.890197628
0.674764000,1.899999372
0.674309000,1.909722748
0.673854000,1.919361055
0.673401000,1.928875875
0.672948000,1.938293335
0.672495000,1.947606960
0.672043000,1.956795253
0.671592000,1.965852757
0.671141000,1.974788689
0.670691000,1.983582813
0.670241000,1.992244039
0.669792000,2.000753069
0.669344000,2.009105315
0.668896000,2.017309226
0.668449000,2.025347083
0.668003000,2.033214928
0.667557000,2.040920715
0.667111000,2.048459759
0.666667000,2.055805811
0.666223000,2.062977989
0.665779000,2.069972249
0.665336000,2.076775153
0.664894000,2.083384399
0.664452000,2.089806670
0.664011000,2.096030571
0.663570000,2.102062392
0.663130000,2.107892142
0.662691000,2.113518815
0.662252000,2.118948103
0.661813000,2.124178125
0.661376000,2.129196289
0.660939000,2.134014081
0.660502000,2.138630389
0.660066000,2.143040298
