a,E2
1.000000000,1.000000000
0.999001000,0.999540009
0.998004000,0.999076093
0.997009000,0.998608280
0.996016000,0.998136599
0.995025000,0.997661079
0.994036000,0.997181749
0.993049000,0.996698640
0.992063000,0.996210369
0.991080000,0.995719792
0.990099000,0.995225535
0.989120000,0.994727632
0.988142000,0.994224675
0.987167000,0.993719582
0.986193000,0.993209496
0.985222000,0.992697366
0.984252000,0.992180309
0.983284000,0.991659825
0.982318000,0.991135959
0.981354000,0.990608756
0.980392000,0.990078262
0.979432000,0.989544527
0.978474000,0.989007601
0.977517000,0.988466015
0.976562000,0.987921331
0.975610000,0.987375142
0.974659000,0.986824443
0.973710000,0.986270823
0.972763000,0.985714347
0.971817000,0.985153520
0.970874000,0.984591529
0.969932000,0.984025315
0.968992000,0.983456517
0.968054000,0.982885213
0.967118000,0.982311487
0.966184000,0.981735424
0.965251000,0.981155508
0.964320000,0.980573427
0.963391000,0.979989282
0.962464000,0.979403173
0.961538000,0.978813580
0.960615000,0.978223870
0.959693000,0.977630894
0.958773000,0.977036407
0.957854000,0.976438885
0.956938000,0.975841764
0.956023000,0.975241875
0.955110000,0.974641020
0.954198000,0.974037679
0.953289000,0.973435358
0.952381000,0.972830875
0.951475000,0.972226082
0.950570000,0.971619472
0.949668000,0.971014618
0.948767000,0.970408338
0.947867000,0.969800832
0.946970000,0.969195723
0.946074000,0.968589835
0.945180000,0.967985112
0.944287000,0.967380091
0.943396000,0.966776746
0.942507000,0.966175351
0.941620000,0.965576190
0.940734000,0.964977842
0.939850000,0.964382332
0.938967000,0.963788264
0.938086000,0.963197691
0.937207000,0.962610965
0.936330000,0.962028446
0.935454000,0.961448790
0.934579000,0.960872393
0.933707000,0.960303095
0.932836000,0.959737883
0.931966000,0.959177201
0.931099000,0.958624920
0.930233000,0.958078090
0.929368000,0.957537205
0.928505000,0.957004470
0.927644000,0.956480397
0.926784000,0.955963838
0.925926000,0.955457030
0.925069000,0.954958873
0.924214000,0.954471625
0.923361000,0.953995883
0.922509000,0.953530623
0.921659000,0.953078130
0.920810000,0.952637437
0.919963000,0.952210841
0.919118000,0.951799020
0.918274000,0.951401098
0.917431000,0.951017829
0.916590000,0.950651525
0.915751000,0.950302927
0.914913000,0.949971290
0.914077000,0.949658922
0.913242000,0.949365145
0.912409000,0.949092263
0.911577000,0.948839668
0.910747000,0.948609648
0.909918000,0.948401670
0.909091000,0.948218001
0.908265000,0.948058183
0.907441000,0.947924455
0.906618000,0.947816435
0.905797000,0.947736327
0.904977000,0.947683825
0.904159000,0.947661090
0.903342000,0.947667895
0.902527000,0.947706347
0.901713000,0.947776297
0.900901000,0.947879790
0.900090000,0.948016756
0.899281000,0.948189167
0.898473000,0.948397035
0.897666000,0.948641391
0.896861000,0.948924079
0.896057000,0.949245232
0.895255000,0.949606589
0.894454000,0.950008366
0.893655000,0.950452189
0.892857000,0.950938349
0.892061000,0.951468352
0.891266000,0.952042563
0.890472000,0.952661950
0.889680000,0.953327816
0.888889000,0.954040638
0.888099000,0.954801334
0.887311000,0.955610973
0.886525000,0.956470250
0.885740000,0.957379785
0.884956000,0.958340401
0.884173000,0.959352896
0.883392000,0.960417891
0.882613000,0.961535927
0.881834000,0.962708067
0.881057000,0.963934486
0.880282000,0.965215608
0.879507000,0.966552798
0.878735000,0.967945139
0.877963000,0.969394614
0.877193000,0.970900496
0.876424000,0.972463771
0.875657000,0.974083965
0.874891000,0.975762111
0.874126000,0.977498488
0.873362000,0.979293329
0.872600000,0.981145660
0.871840000,0.983055381
0.871080000,0.985024934
0.870322000,0.987051812
0.869565000,0.989137193
0.868810000,0.991279452
0.868056000,0.993479807
0.867303000,0.995738039
0.866551000,0.998053868
0.865801000,1.000425133
0.865052000,1.002853108
0.864304000,1.005337333
0.863558000,1.007875240
0.862813000,1.010468141
0.862069000,1.013115387
0.861326000,1.015816268
0.860585000,1.018567685
0.859845000,1.021370988
0.859107000,1.024222823
0.858369000,1.027127077
0.857633000,1.030077753
0.856898000,1.033076224
0.856164000,1.036121353
0.855432000,1.039209166
0.854701000,1.042341055
0.853971000,1.045515708
0.853242000,1.048731748
0.852515000,1.051984761
0.851789000,1.055276149
0.851064000,1.058604380
0.850340000,1.061967870
0.849618000,1.065361804
0.848896000,1.068790812
0.848176000,1.072246768
0.847458000,1.075727784
0.846740000,1.079238599
0.846024000,1.082770736
0.845309000,1.086325600
0.844595000,1.089901264
0.843882000,1.093495762
0.843170000,1.097107099
0.842460000,1.100729765
0.841751000,1.104365152
0.841043000,1.108011184
0.840336000,1.111665761
0.839631000,1.115323240
0.838926000,1.118988519
0.838223000,1.122652403
0.837521000,1.126316249
0.836820000,1.129977884
0.836120000,1.133635125
0.835422000,1.137282293
0.834725000,1.140920718
0.834028000,1.144551674
0.833333000,1.148166044
0.832639000,1.151765125
0.831947000,1.155343367
0.831255000,1.158905405
0.830565000,1.162442365
0.829876000,1.165955505
0.829187000,1.169445956
0.828500000,1.172905116
0.827815000,1.176331053
0.827130000,1.179728070
0.826446000,1.183090963
0.825764000,1.186414765
0.825083000,1.189700634
0.824402000,1.192949526
0.823723000,1.196153780
0.823045000,1.199314489
0.822368000,1.202429868
0.821693000,1.205495577
0.821018000,1.208515170
0.820345000,1.211481893
0.819672000,1.214399093
0.819001000,1.217260425
0.818331000,1.220066828
0.817661000,1.222818957
0.816993000,1.225511133
0.816327000,1.228142294
0.815661000,1.230715091
0.814996000,1.233226298
0.814332000,1.235674755
0.813670000,1.238057838
0.813008000,1.240377672
0.812348000,1.242630329
0.811688000,1.244817656
0.811030000,1.246936265
0.810373000,1.248986704
0.809717000,1.250968264
0.809061000,1.252881088
0.808407000,1.254722906
0.807754000,1.256494103
0.807103000,1.258193775
0.806452000,1.259822565
0.805802000,1.261379589
0.805153000,1.262864597
0.804505000,1.264277404
0.803859000,1.265618009
0.803213000,1.266886240
0.802568000,1.268082109
0.801925000,1.269206154
0.801282000,1.270257703
0.800641000,1.271238000
0.800000000,1.272146033
0.799361000,1.272983632
0.798722000,1.273749447
0.798085000,1.274445883
0.797448000,1.275071251
0.796813000,1.275628532
0.796178000,1.276115691
0.795545000,1.276536271
0.794913000,1.276889615
0.794281000,1.277174674
0.793651000,1.277395810
0.793021000,1.277550148
0.792393000,1.277642579
0.791766000,1.277672143
0.791139000,1.277637505
0.790514000,1.277544321
0.789889000,1.277388894
0.789266000,1.277177369
0.788644000,1.276908474
0.788022000,1.276580588
0.787402000,1.276200548
0.786782000,1.275763876
0.786164000,1.275277847
0.785546000,1.274737680
0.784929000,1.274147784
0.784314000,1.273512936
0.783699000,1.272827924
0.783085000,1.272097494
0.782473000,1.271326730
0.781861000,1.270510011
0.781250000,1.269652387
0.780640000,1.268755398
0.780031000,1.267820602
0.779423000,1.266849569
0.778816000,1.265843885
0.778210000,1.264805142
0.777605000,1.263734944
0.777001000,1.262634902
0.776398000,1.261506633
0.775795000,1.260347483
0.775194000,1.259167579
0.774593000,1.257959956
0.773994000,1.256734928
0.773395000,1.255485354
0.772798000,1.254221708
0.772201000,1.252936688
0.771605000,1.251636356
0.771010000,1.250322327
0.770416000,1.248996204
0.769823000,1.247659583
0.769231000,1.246314047
0.768640000,1.244961170
0.768049000,1.243597843
0.767460000,1.242234941
0.766871000,1.240864648
0.766284000,1.239497859
0.765697000,1.238126685
0.765111000,1.236757309
0.764526000,1.235391204
0.763942000,1.234029822
0.763359000,1.232674595
0.762777000,1.231326937
0.762195000,1.229983556
0.761615000,1.228655196
0.761035000,1.227333862
0.760456000,1.226025563
0.759878000,1.224731608
0.759301000,1.223453281
0.758725000,1.222191843
0.758150000,1.220948530
0.757576000,1.219724552
0.757002000,1.218516613
0.756430000,1.217334876
0.755858000,1.216171545
0.755287000,1.215032225
0.754717000,1.213918008
0.754148000,1.212829963
0.753580000,1.211769134
0.753012000,1.210732325
0.752445000,1.209724839
0.751880000,1.208751774
0.751315000,1.207805790
0.750751000,1.206891987
0.750188000,1.206011272
0.749625000,1.205160616
0.749064000,1.204348763
0.748503000,1.203568792
0.747943000,1.202825438
0.747384000,1.202119509
0.746826000,1.201451792
0.746269000,1.200823054
0.745712000,1.200230566
0.745156000,1.199678681
0.744602000,1.199171463
0.744048000,1.198702866
0.743494000,1.198273795
0.742942000,1.197891409
0.742390000,1.197550055
0.741840000,1.197256576
0.741290000,1.197005598
0.740741000,1.196800822
0.740192000,1.196640154
0.739645000,1.196529789
0.739098000,1.196464970
0.738552000,1.196449071
0.738007000,1.196482725
0.737463000,1.196566569
0.736920000,1.196701239
0.736377000,1.196885240
0.735835000,1.197121537
0.735294000,1.197410784
0.734754000,1.197753646
0.734214000,1.198149037
0.733676000,1.198601255
0.733138000,1.199107579
0.732601000,1.199670482
0.732064000,1.200289334
0.731529000,1.200967702
0.730994000,1.201703741
0.730460000,1.202499597
0.729927000,1.203356076
0.729395000,1.204274008
0.728863000,1.205253544
0.728332000,1.206296494
0.727802000,1.207403766
0.727273000,1.208576293
0.726744000,1.209814809
0.726216000,1.211120777
0.725689000,1.212495223
0.725163000,1.213939196
0.724638000,1.215453782
0.724113000,1.217040512
0.723589000,1.218700382
0.723066000,1.220434573
0.722543000,1.222245137
0.722022000,1.224131778
0.721501000,1.226097601
0.720981000,1.228143076
0.720461000,1.230270981
0.719942000,1.232481557
0.719424000,1.234776209
0.718907000,1.237156365
0.718391000,1.239623481
0.717875000,1.242181296
0.717360000,1.244829398
0.716846000,1.247569316
0.716332000,1.250405394
0.715820000,1.253333786
0.715308000,1.256361855
0.714796000,1.259491769
0.714286000,1.262718595
0.713776000,1.266050879
0.713267000,1.269486879
0.712758000,1.273032387
0.712251000,1.276680880
0.711744000,1.280442533
0.711238000,1.284314770
0.710732000,1.288304225
0.710227000,1.292407866
0.709723000,1.296627240
0.709220000,1.300963860
0.708717000,1.305425186
0.708215000,1.310007159
0.707714000,1.314711180
0.707214000,1.319538601
0.706714000,1.324497683
0.706215000,1.329583201
0.705716000,1.334803811
0.705219000,1.340145903
0.704722000,1.345625738
0.704225000,1.351245057
0.703730000,1.356988419
0.703235000,1.362873422
0.702741000,1.368892446
0.702247000,1.375055428
0.701754000,1.381353988
0.701262000,1.387788459
0.700771000,1.394359047
0.700280000,1.401076331
0.699790000,1.407930321
0.699301000,1.414920826
0.698812000,1.422058862
0.698324000,1.429333162
0.697837000,1.436743089
0.697350000,1.444300053
0.696864000,1.451991462
0.696379000,1.459816194
0.695894000,1.467786006
0.695410000,1.475886947
0.694927000,1.484117380
0.694444000,1.492489355
0.693963000,1.500973421
0.693481000,1.509609793
0.693001000,1.518353717
0.692521000,1.527231694
0.692042000,1.536226593
0.691563000,1.545350902
0.691085000,1.554586598
0.690608000,1.563930388
0.690131000,1.573394900
0.689655000,1.582960821
0.689180000,1.592624308
0.688705000,1.602398082
0.688231000,1.612261612
0.687758000,1.622210528
0.687285000,1.632257590
0.686813000,1.642381150
0.686342000,1.652576343
0.685871000,1.662855923
0.685401000,1.673197245
0.684932000,1.683594995
0.684463000,1.694061874
0.683995000,1.704574387
0.683527000,1.715145167
0.683060000,1.725750223
0.682594000,1.736383617
0.682128000,1.747057859
0.681663000,1.757748393
0.681199000,1.768449006
0.680735000,1.779172054
0.680272000,1.789892599
0.679810000,1.800604248
0.679348000,1.811319158
0.678887000,1.822012228
0.678426000,1.832695451
0.677966000,1.843343724
0.677507000,1.853950539
0.677048000,1.864527632
0.676590000,1.875050110
0.676133000,1.885511532
0.675676000,1.895923353
0.675219000,1.906278790
0.674764000,1.916536048
0.674309000,1.926724101
0.673854000,1.936836274
0.673401000,1.946832116
0.672948000,1.956739743
0.672495000,1.966552684
0.672043000,1.976248358
0.671592000,1.985821244
0.671141000,1.995281605
0.670691000,2.004608047
0.670241000,2.013810548
0.669792000,2.022868601
0.669344000,2.031777519
0.668896000,2.040546857
0.668449000,2.049157611
0.668003000,2.057605706
0.667557000,2.065900237
0.667111000,2.074036444
0.666667000,2.081985400
0.666223000,2.089768661
0.665779000,2.097382091
0.665336000,2.104810805
0.664894000,2.112052347
0.664452000,2.119114623
0.664011000,2.125984729
0.663570000,2.132670198
0.663130000,2.139159493
0.662691000,2.145451437
0.662252000,2.151553001
0.661813000,2.157462168
0.661376000,2.163163252
0.660939000,2.168670503
0.660502000,2.173982666
0.660066000,2.179093166
