a,E2
1.000000000,1.000000000
0.999001000,1.000900900
0.998004000,1.001803602
0.997009000,1.002708108
0.996016000,1.003614419
0.995025000,1.004522538
0.994036000,1.005432465
0.993049000,1.006344203
0.992063000,1.007257754
0.991080000,1.008173119
0.990099000,1.009090300
0.989120000,1.010009299
0.988142000,1.010930118
0.987167000,1.011852759
0.986193000,1.012777223
0.985222000,1.013703513
0.984252000,1.014631629
0.983284000,1.015561574
0.982318000,1.016493350
0.981354000,1.017426958
0.980392000,1.018362400
0.979432000,1.019299678
0.978474000,1.020238794
0.977517000,1.021179750
0.976562000,1.022122547
0.975610000,1.023067188
0.974659000,1.024013673
0.973710000,1.024962005
0.972763000,1.025912186
0.971817000,1.026864217
0.970874000,1.027818100
0.969932000,1.028773837
0.968992000,1.029731430
0.968054000,1.030690881
0.967118000,1.031652191
0.966184000,1.032615363
0.965251000,1.033580397
0.964320000,1.034547296
0.963391000,1.035516062
0.962464000,1.036486696
0.961538000,1.037459200
0.960615000,1.038433576
0.959693000,1.039409827
0.958773000,1.040387952
0.957854000,1.041367955
0.956938000,1.042349838
0.956023000,1.043333601
0.955110000,1.044319247
0.954198000,1.045306778
0.953289000,1.046296195
0.952381000,1.047287500
0.951475000,1.048280696
0.950570000,1.049275783
0.949668000,1.050272763
0.948767000,1.051271640
0.947867000,1.052272413
0.946970000,1.053275085
0.946074000,1.054279658
0.945180000,1.055286134
0.944287000,1.056294514
0.943396000,1.057304801
0.942507000,1.058316995
0.941620000,1.059331099
0.940734000,1.060347115
0.939850000,1.061365044
0.938967000,1.062384888
0.938086000,1.063406650
0.937207000,1.064430330
0.936330000,1.065455931
0.935454000,1.066483454
0.934579000,1.067512901
0.933707000,1.068544275
0.932836000,1.069577576
0.931966000,1.070612807
0.931099000,1.071649969
0.930233000,1.072689064
0.929368000,1.073730095
0.928505000,1.074773062
0.927644000,1.075817968
0.926784000,1.076864814
0.925926000,1.077913602
0.925069000,1.078964335
0.924214000,1.080017013
0.923361000,1.081071639
0.922509000,1.082128214
0.921659000,1.083186741
0.920810000,1.084247220
0.919963000,1.085309655
0.919118000,1.086374046
0.918274000,1.087440395
0.917431000,1.088508705
0.916590000,1.089578976
0.915751000,1.090651212
0.914913000,1.091725413
0.914077000,1.092801581
0.913242000,1.093879719
0.912409000,1.094959828
0.911577000,1.096041909
0.910747000,1.097125965
0.909918000,1.098211998
0.909091000,1.099300009
0.908265000,1.100390000
0.907441000,1.101481972
0.906618000,1.102575929
0.905797000,1.103671870
0.904977000,1.104769799
0.904159000,1.105869717
0.903342000,1.106971626
0.902527000,1.108075528
0.901713000,1.109181424
0.900901000,1.110289316
0.900090000,1.111399206
0.899281000,1.112511096
0.898473000,1.113624988
0.897666000,1.114740884
0.896861000,1.115858784
0.896057000,1.116978692
0.895255000,1.118100608
0.894454000,1.119224535
0.893655000,1.120350475
0.892857000,1.121478429
0.892061000,1.122608399
0.891266000,1.123740387
0.890472000,1.124874395
0.889680000,1.126010424
0.888889000,1.127148476
0.888099000,1.128288554
0.887311000,1.129430658
0.886525000,1.130574792
0.885740000,1.131720955
0.884956000,1.132869152
0.884173000,1.134019382
0.883392000,1.135171648
0.882613000,1.136325952
0.881834000,1.137482296
0.881057000,1.138640681
0.880282000,1.139801109
0.879507000,1.140963582
0.878735000,1.142128102
0.877963000,1.143294671
0.877193000,1.144463290
0.876424000,1.145633961
0.875657000,1.146806686
