a,E2
1.000000000,1.000000000
0.999001000,1.000900895
0.998004000,1.001803591
0.997009000,1.002708091
0.996016000,1.003614395
0.995025000,1.004522507
0.994036000,1.005432426
0.993049000,1.006344157
0.992063000,1.007257699
0.991080000,1.008173055
0.990099000,1.009090227
0.989120000,1.010009217
0.988142000,1.010930025
0.987167000,1.011852655
0.986193000,1.012777107
0.985222000,1.013703384
0.984252000,1.014631487
0.983284000,1.015561419
0.982318000,1.016493180
0.981354000,1.017426772
0.980392000,1.018362198
0.979432000,1.019299459
0.978474000,1.020238557
0.977517000,1.021179493
0.976562000,1.022122270
0.975610000,1.023066888
0.974659000,1.024013351
0.973710000,1.024961659
0.972763000,1.025911814
0.971817000,1.026863819
0.970874000,1.027817674
0.969932000,1.028773381
0.968992000,1.029730943
0.968054000,1.030690361
0.967118000,1.031651636
0.966184000,1.032614771
0.965251000,1.033579767
0.964320000,1.034546625
0.963391000,1.035515348
0.962464000,1.036485938
0.961538000,1.037458395
0.960615000,1.038432721
0.959693000,1.039408919
0.958773000,1.040386990
0.957854000,1.041366936
0.956938000,1.042348757
0.956023000,1.043332457
0.955110000,1.044318037
0.954198000,1.045305497
0.953289000,1.046294841
0.952381000,1.047286069
0.951475000,1.048279183
0.950570000,1.049274185
0.949668000,1.050271077
0.948767000,1.051269860
0.947867000,1.052270535
0.946970000,1.053273105
0.946074000,1.054277571
0.945180000,1.055283934
0.944287000,1.056292196
0.943396000,1.057302359
0.942507000,1.058314424
0.941620000,1.059328393
0.940734000,1.060344267
0.939850000,1.061362048
0.938967000,1.062381737
0.938086000,1.063403336
0.937207000,1.064426847
0.936330000,1.065452271
0.935454000,1.066479608
0.934579000,1.067508862
0.933707000,1.068540033
0.932836000,1.069573123
0.931966000,1.070608134
0.931099000,1.071645066
0.930233000,1.072683921
0.929368000,1.073724700
0.928505000,1.074767405
0.927644000,1.075812038
0.926784000,1.076858599
0.925926000,1.077907090
0.925069000,1.078957513
0.924214000,1.080009868
0.923361000,1.081064157
0.922509000,1.082120381
0.921659000,1.083178542
0.920810000,1.084238641
0.919963000,1.085300678
0.919118000,1.086364656
0.918274000,1.087430575
0.917431000,1.088498437
0.916590000,1.089568242
0.915751000,1.090639993
0.914913000,1.091713689
0.914077000,1.092789333
0.913242000,1.093866925
0.912409000,1.094946466
0.911577000,1.096027957
0.910747000,1.097111400
0.909918000,1.098196795
0.909091000,1.099284143
0.908265000,1.100373446
0.907441000,1.101464704
0.906618000,1.102557917
0.905797000,1.103653088
0.904977000,1.104750217
0.904159000,1.105849304
0.903342000,1.106950350
0.902527000,1.108053358
0.901713000,1.109158325
0.900901000,1.110265255
0.900090000,1.111374147
0.899281000,1.112485002
0.898473000,1.113597820
0.897666000,1.114712602
0.896861000,1.115829349
0.896057000,1.116948061
0.895255000,1.118068739
0.894454000,1.119191383
0.893655000,1.120315995
0.892857000,1.121442573
0.892061000,1.122571119
0.891266000,1.123701632
0.890472000,1.124834112
0.889680000,1.125968562
0.888889000,1.127104979
0.888099000,1.128243364
0.887311000,1.129383719
0.886525000,1.130526044
0.885740000,1.131670337
0.884956000,1.132816598
0.884173000,1.133964827
0.883392000,1.135115026
0.882613000,1.136267195
0.881834000,1.137421329
0.881057000,1.138577433
0.880282000,1.139735507
0.879507000,1.140895544
0.878735000,1.142057554
0.877963000,1.143221526
0.877193000,1.144387467
0.876424000,1.145555373
0.875657000,1.146725246
0.874891000,1.147897083
0.874126000,1.149070883
0.873362000,1.150246645
0.872600000,1.151424373
0.871840000,1.152604065
0.871080000,1.153785713
0.870322000,1.154969324
0.869565000,1.156154893
0.868810000,1.157342423
0.868056000,1.158531909
0.867303000,1.159723349
0.866551000,1.160916743
0.865801000,1.162112094
0.865052000,1.163309395
0.864304000,1.164508646
0.863558000,1.165709851
0.862813000,1.166913001
0.862069000,1.168118097
0.861326000,1.169325135
0.860585000,1.170534122
0.859845000,1.171745048
0.859107000,1.172957919
0.858369000,1.174172718
0.857633000,1.175389459
0.856898000,1.176608132
0.856164000,1.177828735
0.855432000,1.179051273
0.854701000,1.180275737
0.853971000,1.181502125
0.853242000,1.182730433
0.852515000,1.183960668
0.851789000,1.185192820
0.851064000,1.186426885
0.850340000,1.187662860
0.849618000,1.188900754
0.848896000,1.190140543
0.848176000,1.191382245
0.847458000,1.192625857
0.846740000,1.193871355
0.846024000,1.195118758
0.845309000,1.196368052
0.844595000,1.197619232
0.843882000,1.198872297
0.843170000,1.200127242
0.842460000,1.201384077
0.841751000,1.202642787
0.841043000,1.203903366
0.840336000,1.205165812
0.839631000,1.206430136
0.838926000,1.207696303
0.838223000,1.208964341
0.837521000,1.210234231
0.836820000,1.211505968
0.836120000,1.212779547
0.835422000,1.214054983
0.834725000,1.215332255
0.834028000,1.216611337
0.833333000,1.217892265
0.832639000,1.219175014
0.831947000,1.220459601
0.831255000,1.221745980
0.830565000,1.223034187
0.829876000,1.224324198
0.829187000,1.225615985
0.828500000,1.226909587
0.827815000,1.228205002
0.827130000,1.229502176
0.826446000,1.230801128
0.825764000,1.232101878
0.825083000,1.233404397
0.824402000,1.234708651
0.823723000,1.236014689
0.823045000,1.237322478
0.822368000,1.238632014
0.821693000,1.239943319
0.821018000,1.241256329
0.820345000,1.242571099
0.819672000,1.243887561
0.819001000,1.245205772
0.818331000,1.246525695
0.817661000,1.247847289
0.816993000,1.249170616
0.816327000,1.250495671
0.815661000,1.251822378
0.814996000,1.253150766
0.814332000,1.254480827
0.813670000,1.255812594
0.813008000,1.257145984
0.812348000,1.258481069
0.811688000,1.259817761
0.811030000,1.261156136
0.810373000,1.262496146
0.809717000,1.263837784
0.809061000,1.265180999
0.808407000,1.266525873
0.807754000,1.267872355
0.807103000,1.269220484
0.806452000,1.270570161
0.805802000,1.271921423
0.805153000,1.273274264
0.804505000,1.274628677
0.803859000,1.275984707
0.803213000,1.277342243
0.802568000,1.278701327
0.801925000,1.280062011
0.801282000,1.281424173
0.800641000,1.282787922
0.800000000,1.284153132
0.799361000,1.285519916
0.798722000,1.286888144
0.798085000,1.288257932
0.797448000,1.289629147
0.796813000,1.291001909
0.796178000,1.292376080
0.795545000,1.293751785
0.794913000,1.295128951
0.794281000,1.296507499
0.793651000,1.297887562
0.793021000,1.299268988
0.792393000,1.300651917
0.791766000,1.302036267
0.791139000,1.303421953
0.790514000,1.304809122
0.789889000,1.306197609
0.789266000,1.307587565
0.788644000,1.308978904
0.788022000,1.310371533
0.787402000,1.311765612
0.786782000,1.313160963
0.786164000,1.314557751
0.785546000,1.315955792
0.784929000,1.317355166
0.784314000,1.318755959
0.783699000,1.320157977
0.783085000,1.321561304
0.782473000,1.322966032
0.781861000,1.324371957
0.781250000,1.325779168
0.780640000,1.327187657
0.780031000,1.328597418
0.779423000,1.330008443
0.778816000,1.331420723
0.778210000,1.332834252
0.777605000,1.334249022
0.777001000,1.335665027
0.776398000,1.337082257
0.775795000,1.338500588
0.775194000,1.339920247
0.774593000,1.341340989
0.773994000,1.342763049
0.773395000,1.344186173
0.772798000,1.345610606
0.772201000,1.347036085
0.771605000,1.348462729
0.771010000,1.349890533
0.770416000,1.351319489
0.769823000,1.352749591
0.769231000,1.354180832
0.768640000,1.355613206
0.768049000,1.357046560
0.767460000,1.358481179
0.766871000,1.359916761
0.766284000,1.361353599
0.765697000,1.362791384
0.765111000,1.364230261
0.764526000,1.365670224
0.763942000,1.367111266
0.763359000,1.368553383
0.762777000,1.369996569
0.762195000,1.371440651
0.761615000,1.372885957
0.761035000,1.374332143
0.760456000,1.375779373
0.759878000,1.377227641
0.759301000,1.378676943
0.758725000,1.380127275
0.758150000,1.381578631
0.757576000,1.383031008
0.757002000,1.384484211
0.756430000,1.385938614
0.755858000,1.387393830
0.755287000,1.388850046
0.754717000,1.390307258
0.754148000,1.391765462
0.753580000,1.393224655
0.753012000,1.394684627
0.752445000,1.396145576
0.751880000,1.397607714
0.751315000,1.399070613
0.750751000,1.400534482
0.750188000,1.401999319
0.749625000,1.403464898
0.749064000,1.404931661
0.748503000,1.406399157
0.747943000,1.407867608
0.747384000,1.409337012
0.746826000,1.410807368
0.746269000,1.412278675
0.745712000,1.413750690
0.745156000,1.415223649
0.744602000,1.416697800
0.744048000,1.418172649
0.743494000,1.419648188
0.742942000,1.421124921
0.742390000,1.422602339
0.741840000,1.424080958
0.741290000,1.425560258
0.740741000,1.427040498
0.740192000,1.428521410
0.739645000,1.430003534
0.739098000,1.431486326
0.738552000,1.432970060
0.738007000,1.434454737
0.737463000,1.435940361
0.736920000,1.437426933
0.736377000,1.438914166
0.735835000,1.440402348
0.735294000,1.441891482
0.734754000,1.443381572
0.734214000,1.444872318
0.733676000,1.446364329
0.733138000,1.447856998
0.732601000,1.449350635
0.732064000,1.450844928
0.731529000,1.452340510
0.730994000,1.453836753
0.730460000,1.455333978
0.729927000,1.456832191
0.729395000,1.458331397
0.728863000,1.459831271
0.728332000,1.461332146
0.727802000,1.462834028
0.727273000,1.464336926
0.726744000,1.465840502
0.726216000,1.467345102
0.725689000,1.468850734
0.725163000,1.470357406
0.724638000,1.471865128
0.724113000,1.473373548
0.723589000,1.474883030
0.723066000,1.476393582
0.722543000,1.477904846
0.722022000,1.479417565
0.721501000,1.480931011
0.720981000,1.482445562
0.720461000,1.483960850
0.719942000,1.485477258
0.719424000,1.486994799
0.718907000,1.488513484
0.718391000,1.490033325
0.717875000,1.491553940
0.717360000,1.493075731
0.716846000,1.494598710
0.716332000,1.496122487
0.715820000,1.497647878
0.715308000,1.499174090
0.714796000,1.500701128
0.714286000,1.502229824
0.713776000,1.503759370
0.713267000,1.505290191
0.712758000,1.506821880
0.712251000,1.508355293
0.711744000,1.509889601
0.711238000,1.511425240
0.710732000,1.512961796
0.710227000,1.514499711
0.709723000,1.516039003
0.709220000,1.517579689
0.708717000,1.519121344
0.708215000,1.520664423
0.707714000,1.522208944
0.707214000,1.523754926
0.706714000,1.525301935
0.706215000,1.526850438
0.705716000,1.528399997
0.705219000,1.529951542
0.704722000,1.531504178
0.704225000,1.533057918
0.703730000,1.534613707
0.703235000,1.536170638
0.702741000,1.537729193
0.702247000,1.539288923
0.701754000,1.540850318
0.701262000,1.542413398
0.700771000,1.543978186
0.700280000,1.545544225
0.699790000,1.547112012
0.699301000,1.548681572
0.698812000,1.550252442
0.698324000,1.551825127
0.697837000,1.553399652
0.697350000,1.554975548
0.696864000,1.556553328
0.696379000,1.558133018
0.695894000,1.559714146
0.695410000,1.561297229
0.694927000,1.562882294
0.694444000,1.564468865
0.693963000,1.566057970
0.693481000,1.567648125
0.693001000,1.569240867
0.692521000,1.570835212
0.692042000,1.572431692
0.691563000,1.574029825
0.691085000,1.575630144
0.690608000,1.577232680
0.690131000,1.578836945
0.689655000,1.580443480
0.689180000,1.582052314
0.688705000,1.583662958
0.688231000,1.585275958
0.687758000,1.586891341
0.687285000,1.588508620
0.686813000,1.590128341
0.686342000,1.591750534
0.685871000,1.593374709
0.685401000,1.595001416
0.684932000,1.596630686
0.684463000,1.598262028
0.683995000,1.599895994
0.683527000,1.601532093
0.683060000,1.603170879
0.682594000,1.604812384
0.682128000,1.606456116
0.681663000,1.608102633
0.681199000,1.609751965
0.680735000,1.611403622
0.680272000,1.613058161
0.679810000,1.614715616
0.679348000,1.616375496
0.678887000,1.618038359
0.678426000,1.619703716
0.677966000,1.621372125
0.677507000,1.623043619
0.677048000,1.624717713
0.676590000,1.626394962
0.676133000,1.628075401
0.675676000,1.629758547
0.675219000,1.631444439
0.674764000,1.633134145
0.674309000,1.634826669
0.673854000,1.636522049
0.673401000,1.638221349
0.672948000,1.639923580
0.672495000,1.641628782
0.672043000,1.643337502
0.671592000,1.645049777
0.671141000,1.646765139
0.670691000,1.648484132
0.670241000,1.650206292
0.669792000,1.651932161
0.669344000,1.653661774
0.668896000,1.655394676
0.668449000,1.657131401
0.668003000,1.658871986
0.667557000,1.660615982
0.667111000,1.662363433
0.666667000,1.664115349
0.666223000,1.665870800
0.665779000,1.667629832
0.665336000,1.669392966
0.664894000,1.671160239
0.664452000,1.672931220
0.664011000,1.674706423
0.663570000,1.676485424
0.663130000,1.678268728
0.662691000,1.680056374
0.662252000,1.681847949
0.661813000,1.683643503
0.661376000,1.685443971
0.660939000,1.687248502
0.660502000,1.689057145
0.660066000,1.690870382
0.659631000,1.692688253
0.659196000,1.694510372
0.658762000,1.696337210
0.658328000,1.698168390
0.657895000,1.700004375
0.657462000,1.701844798
0.657030000,1.703690113
0.656599000,1.705540358
0.656168000,1.707395180
0.655738000,1.709255020
0.655308000,1.711119536
0.654879000,1.712989156
0.654450000,1.714863550
0.654022000,1.716743136
0.653595000,1.718627955
0.653168000,1.720517690
0.652742000,1.722412746
0.652316000,1.724312818
0.651890000,1.726217964
0.651466000,1.728128898
0.651042000,1.730044995
0.650618000,1.731966311
0.650195000,1.733893215
0.649773000,1.735825743
0.649351000,1.737763638
0.648929000,1.739706959
0.648508000,1.741656046
0.648088000,1.743610937
0.647668000,1.745571402
0.647249000,1.747537761
0.646831000,1.749510051
0.646412000,1.751487819
0.645995000,1.753471862
0.645578000,1.755461732
0.645161000,1.757457492
0.644745000,1.759459416
0.644330000,1.761467540
0.643915000,1.763481705
0.643501000,1.765502160
0.643087000,1.767528762
0.642674000,1.769561744
0.642261000,1.771600981
0.641849000,1.773646687
0.641437000,1.775698755
0.641026000,1.777757382
0.640615000,1.779822479
0.640205000,1.781894225
0.639795000,1.783972549
0.639386000,1.786057612
0.638978000,1.788149448
0.638570000,1.790248014
0.638162000,1.792353377
0.637755000,1.794465656
0.637349000,1.796584885
0.636943000,1.798711064
0.636537000,1.800844256
0.636132000,1.802984543
0.635728000,1.805131956
0.635324000,1.807286538
0.634921000,1.809448334
0.634518000,1.811617407
0.634115000,1.813793823
0.633714000,1.815977544
0.633312000,1.818168760
0.632911000,1.820367419
0.632511000,1.822573554
0.632111000,1.824787296
0.631712000,1.827008599
0.631313000,1.829237619
0.630915000,1.831474286
0.630517000,1.833718779
0.630120000,1.835971004
0.629723000,1.838231166
0.629327000,1.840499144
0.628931000,1.842775168
0.628536000,1.845059092
0.628141000,1.847351173
0.627746000,1.849651478
0.627353000,1.851959565
0.626959000,1.854276230
0.626566000,1.856601014
0.626174000,1.858933944
0.625782000,1.861275361
0.625391000,1.863625004
0.625000000,1.865983243
0.624610000,1.868349788
0.624220000,1.870725038
0.623830000,1.873109060
0.623441000,1.875501524
0.623053000,1.877902453
0.622665000,1.880312303
0.622278000,1.882730696
0.621891000,1.885158118
0.621504000,1.887594638
0.621118000,1.890039832
0.620732000,1.892494232
0.620347000,1.894957381
0.619963000,1.897429301
0.619579000,1.899910571
0.619195000,1.902401262
0.618812000,1.904900851
0.618429000,1.907409967
