a,E2
1.000000000,1.000000000
0.999001000,1.000710710
0.998004000,1.001420824
0.997009000,1.002130327
0.996016000,1.002839205
0.995025000,1.003547444
0.994036000,1.004255029
0.993049000,1.004961946
0.992063000,1.005667972
0.991080000,1.006373509
0.990099000,1.007078337
0.989120000,1.007782441
0.988142000,1.008485587
0.987167000,1.009188200
0.986193000,1.009889822
0.985222000,1.010590890
0.984252000,1.011290935
0.983284000,1.011990168
0.982318000,1.012688579
0.981354000,1.013386153
0.980392000,1.014082878
0.979432000,1.014778740
0.978474000,1.015473728
0.977517000,1.016167573
0.976562000,1.016860512
0.975610000,1.017552793
0.974659000,1.018243885
0.973710000,1.018934034
0.972763000,1.019623227
0.971817000,1.020311179
0.970874000,1.020998423
0.969932000,1.021684395
0.968992000,1.022369359
0.968054000,1.023053302
0.967118000,1.023736214
0.966184000,1.024418083
0.965251000,1.025098601
0.964320000,1.025778047
0.963391000,1.026456410
0.962464000,1.027133682
0.961538000,1.027809537
0.960615000,1.028484588
0.959693000,1.029158196
0.958773000,1.029830663
0.957854000,1.030501652
0.956938000,1.031171805
0.956023000,1.031840453
0.955110000,1.032507915
0.954198000,1.033173838
0.953289000,1.033838896
0.952381000,1.034502390
0.951475000,1.035164654
0.950570000,1.035825322
0.949668000,1.036485096
0.948767000,1.037143250
0.947867000,1.037799764
0.946970000,1.038455364
0.946074000,1.039109300
0.945180000,1.039761934
0.944287000,1.040412873
0.943396000,1.041062488
0.942507000,1.041710770
0.941620000,1.042357714
0.940734000,1.043002911
0.939850000,1.043646748
0.938967000,1.044288808
0.938086000,1.044929488
0.937207000,1.045568781
0.936330000,1.046206681
0.935454000,1.046842757
0.934579000,1.047476988
0.933707000,1.048110231
0.932836000,1.048741611
0.931966000,1.049371111
0.931099000,1.049999612
0.930233000,1.050626216
0.929368000,1.051250903
0.928505000,1.051874121
0.927644000,1.052495866
0.926784000,1.053115661
0.925926000,1.053733968
0.925069000,1.054350300
0.924214000,1.054965127
0.923361000,1.055578448
0.922509000,1.056189763
0.921659000,1.056799557
0.920810000,1.057407323
0.919963000,1.058013555
0.919118000,1.058618250
0.918274000,1.059220889
0.917431000,1.059821456
0.916590000,1.060420463
0.915751000,1.061017912
0.914913000,1.061613261
0.914077000,1.062207041
0.913242000,1.062798702
0.912409000,1.063388783
0.911577000,1.063976727
0.910747000,1.064563081
0.909918000,1.065147279
0.909091000,1.065729881
0.908265000,1.066310308
0.907441000,1.066889131
0.906618000,1.067465763
0.905797000,1.068040785
0.904977000,1.068613599
0.904159000,1.069184796
0.903342000,1.069753771
0.902527000,1.070321125
0.901713000,1.070886241
0.900901000,1.071449732
0.900090000,1.072010971
0.899281000,1.072570583
0.898473000,1.073127929
0.897666000,1.073682999
0.896861000,1.074236433
0.896057000,1.074787578
0.895255000,1.075337087
0.894454000,1.075884295
0.893655000,1.076429867
0.892857000,1.076973128
0.892061000,1.077514754
0.891266000,1.078054060
0.890472000,1.078591036
0.889680000,1.079126374
0.888889000,1.079659373
0.888099000,1.080190025
0.887311000,1.080719039
0.886525000,1.081246423
0.885740000,1.081771454
0.884956000,1.082294124
0.884173000,1.082814424
0.883392000,1.083333095
0.882613000,1.083850143
0.881834000,1.084364063
0.881057000,1.084876357
0.880282000,1.085387036
0.879507000,1.085894557
0.878735000,1.086401242
0.877963000,1.086904756
0.877193000,1.087406661
0.876424000,1.087906171
0.875657000,1.088404082
0.874891000,1.088899597
0.874126000,1.089392710
0.873362000,1.089883414
0.872600000,1.090372535
0.871840000,1.090860083
0.871080000,1.091344391
0.870322000,1.091827130
0.869565000,1.092307461
0.868810000,1.092786238
0.868056000,1.093262611
0.867303000,1.093736575
0.866551000,1.094208127
0.865801000,1.094678148
0.865052000,1.095145764
0.864304000,1.095610970
0.863558000,1.096074667
0.862813000,1.096535963
0.862069000,1.096994856
0.861326000,1.097451344
0.860585000,1.097906352
0.859845000,1.098358965
0.859107000,1.098810119
0.858369000,1.099257944
0.857633000,1.099704322
0.856898000,1.100148315
0.856164000,1.100589923
0.855432000,1.101030114
0.854701000,1.101467934
0.853971000,1.101903382
0.853242000,1.102336461
0.852515000,1.102768165
0.851789000,1.103197514
0.851064000,1.103624511
0.850340000,1.104049157
0.849618000,1.104472476
0.848896000,1.104892436
0.848176000,1.105311086
0.847458000,1.105728449
0.846740000,1.106142458
0.846024000,1.106555200
0.845309000,1.106965640
0.844595000,1.107373785
0.843882000,1.107779637
0.843170000,1.108183204
0.842460000,1.108585573
0.841751000,1.108985680
0.841043000,1.109383531
0.840336000,1.109779133
0.839631000,1.110173602
0.838926000,1.110564733
0.838223000,1.110954759
0.837521000,1.111342578
0.836820000,1.111728198
0.836120000,1.112111629
0.835422000,1.112494027
0.834725000,1.112874266
0.834028000,1.113251197
0.833333000,1.113627142
0.832639000,1.114000960
0.831947000,1.114373840
0.831255000,1.114743442
0.830565000,1.115112141
0.829876000,1.115478772
0.829187000,1.115842142
0.828500000,1.116204666
0.827815000,1.116566376
0.827130000,1.116924860
0.826446000,1.117281342
0.825764000,1.117637072
0.825083000,1.117990843
0.824402000,1.118341421
0.823723000,1.118691312
0.823045000,1.119039292
0.822368000,1.119385377
0.821693000,1.119730856
0.821018000,1.120073210
0.820345000,1.120415008
0.819672000,1.120753704
0.819001000,1.121091894
0.818331000,1.121428313
0.817661000,1.121761671
0.816993000,1.122094603
0.816327000,1.122427148
0.815661000,1.122756690
0.814996000,1.123084567
0.814332000,1.123410803
