a,E2
1.000000000,1.000000000
0.999001000,0.999917155
0.998004000,0.999830166
0.997009000,0.999739040
0.996016000,0.999643787
0.995025000,0.999544415
0.994036000,0.999440936
0.993049000,0.999333359
0.992063000,0.999220660
0.991080000,0.999104918
0.990099000,0.998985116
0.989120000,0.998861270
0.988142000,0.998732327
0.987167000,0.998600430
0.986193000,0.998463455
0.985222000,0.998323576
0.984252000,0.998178644
0.983284000,0.998029759
0.982318000,0.997876944
0.981354000,0.997720223
0.980392000,0.997559621
0.979432000,0.997395164
0.978474000,0.997226880
0.977517000,0.997053656
0.976562000,0.996876652
0.975610000,0.996697063
0.974659000,0.996512613
0.973710000,0.996324492
0.972763000,0.996132742
0.971817000,0.995936217
0.970874000,0.995737332
0.969932000,0.995533753
0.968992000,0.995326720
0.968054000,0.995116286
0.967118000,0.994902511
0.966184000,0.994685455
0.965251000,0.994463948
0.964320000,0.994239282
0.963391000,0.994011530
0.962464000,0.993780770
0.961538000,0.993545820
0.960615000,0.993309289
0.959693000,0.993068734
0.958773000,0.992825518
0.957854000,0.992578454
0.956938000,0.992330223
0.956023000,0.992078355
0.955110000,0.991824263
0.954198000,0.991566761
0.953289000,0.991308604
0.952381000,0.991047305
0.951475000,0.990784327
0.950570000,0.990518493
0.949668000,0.990252635
0.948767000,0.989984254
0.947867000,0.989713520
0.946970000,0.989443322
0.946074000,0.989171161
0.945180000,0.988898599
0.944287000,0.988624496
0.943396000,0.988350446
0.942507000,0.988076696
0.941620000,0.987803504
0.940734000,0.987529762
0.939850000,0.987257126
0.938967000,0.986984507
0.938086000,0.986713594
0.937207000,0.986444709
0.936330000,0.986178188
0.935454000,0.985912992
0.934579000,0.985649483
0.933707000,0.985390818
0.932836000,0.985134614
0.931966000,0.984881282
0.931099000,0.984634022
0.930233000,0.984390503
0.929368000,0.984151189
0.928505000,0.983917938
0.927644000,0.983691241
0.926784000,0.983470235
0.925926000,0.983256820
0.925069000,0.983050180
0.924214000,0.982852240
0.923361000,0.982663574
0.922509000,0.982483438
0.921659000,0.982313790
0.920810000,0.982153939
