a,E2
1.000000000,1.000000000
0.999001000,1.000351248
0.998004000,1.000699827
0.997009000,1.001045729
0.996016000,1.001388949
0.995025000,1.001729480
0.994036000,1.002067316
0.993049000,1.002402452
0.992063000,1.002734294
0.991080000,1.003064009
0.990099000,1.003391009
0.989120000,1.003715288
0.988142000,1.004036234
0.987167000,1.004355056
0.986193000,1.004670525
0.985222000,1.004983875
0.984252000,1.005293856
0.983284000,1.005601084
0.982318000,1.005905559
0.981354000,1.006207277
0.980392000,1.006506237
0.979432000,1.006802437
0.978474000,1.007095877
0.977517000,1.007385885
0.976562000,1.007673120
0.975610000,1.007958263
0.974659000,1.008239957
0.973710000,1.008518879
0.972763000,1.008795030
0.971817000,1.009067707
0.970874000,1.009338315
0.969932000,1.009605442
0.968992000,1.009869795
0.968054000,1.010131377
0.967118000,1.010390192
0.966184000,1.010646245
0.965251000,1.010898796
0.964320000,1.011148583
0.963391000,1.011395613
0.962464000,1.011639892
0.961538000,1.011880660
0.960615000,1.012119455
0.959693000,1.012354745
0.958773000,1.012587306
0.957854000,1.012816359
0.956938000,1.013043491
0.956023000,1.013267127
0.955110000,1.013488071
0.954198000,1.013705523
0.953289000,1.013921123
0.952381000,1.014133251
0.951475000,1.014342741
0.950570000,1.014548774
0.949668000,1.014753042
0.948767000,1.014953886
0.947867000,1.015151310
0.946970000,1.015347048
0.946074000,1.015539410
0.945180000,1.015729281
0.944287000,1.015915812
0.943396000,1.016099908
0.942507000,1.016281604
0.941620000,1.016460939
0.940734000,1.016637051
0.939850000,1.016810876
0.938967000,1.016981545
0.938086000,1.017150014
0.937207000,1.017316335
0.936330000,1.017480567
0.935454000,1.017641829
0.934579000,1.017800171
0.933707000,1.017957543
0.932836000,1.018112124
0.931966000,1.018263974
0.931099000,1.018415091
0.930233000,1.018563634
0.929368000,1.018709678
0.928505000,1.018854288
0.927644000,1.018997563
0.926784000,1.019138622
0.925926000,1.019278559
0.925069000,1.019416493
0.924214000,1.019553542
0.923361000,1.019689839
0.922509000,1.019824511
0.921659000,1.019958709
0.920810000,1.020091566
0.919963000,1.020224259
0.919118000,1.020356956
0.918274000,1.020488804
0.917431000,1.020619979
0.916590000,1.020751706
0.915751000,1.020884187
0.914913000,1.021016593
0.914077000,1.021150182
0.913242000,1.021284141
0.912409000,1.021419751
0.911577000,1.021556213
0.910747000,1.021694835
0.909918000,1.021834836
0.909091000,1.021977545
0.908265000,1.022122202
0.907441000,1.022270158
0.906618000,1.022420674
0.905797000,1.022575123
0.904977000,1.022732789
0.904159000,1.022895064
0.903342000,1.023061258
0.902527000,1.023232779
0.901713000,1.023408964
0.900901000,1.023591238
0.900090000,1.023778963
0.899281000,1.023973578
0.898473000,1.024174475
0.897666000,1.024382090
0.896861000,1.024597874
0.896057000,1.024821268
0.895255000,1.025053726
0.894454000,1.025294718
0.893655000,1.025545702
0.892857000,1.025806178
0.892061000,1.026077600
0.891266000,1.026359500
0.890472000,1.026652393
0.889680000,1.026957715
0.888889000,1.027275050
0.888099000,1.027604926
0.887311000,1.027948755
0.886525000,1.028307026
0.885740000,1.028679387
0.884956000,1.029066375
0.884173000,1.029468528
0.883392000,1.029887178
0.882613000,1.030322806
0.881834000,1.030774375
0.881057000,1.031243944
0.880282000,1.031731974
0.879507000,1.032237530
0.878735000,1.032763202
0.877963000,1.033307405
0.877193000,1.033871950
0.876424000,1.034456638
0.875657000,1.035062513
0.874891000,1.035689396
0.874126000,1.036337720
0.873362000,1.037007901
0.872600000,1.037700813
0.871840000,1.038416754
0.871080000,1.039155158
0.870322000,1.039917227
0.869565000,1.040702823
0.868810000,1.041512567
0.868056000,1.042346325
0.867303000,1.043204329
0.866551000,1.044086782
0.865801000,1.044994068
0.865052000,1.045926055
0.864304000,1.046882851
0.863558000,1.047864651
0.862813000,1.048871311
0.862069000,1.049902833
0.861326000,1.050959185
0.860585000,1.052040293
0.859845000,1.053145985
0.859107000,1.054276049
0.858369000,1.055430390
0.857633000,1.056608621
0.856898000,1.057810530
0.856164000,1.059035802
0.855432000,1.060283870
0.854701000,1.061554484
0.853971000,1.062847200
0.853242000,1.064161531
0.852515000,1.065496627
0.851789000,1.066852177
0.851064000,1.068227566
0.850340000,1.069622130
0.849618000,1.071034750
0.848896000,1.072465483
0.848176000,1.073912689
0.847458000,1.075375477
0.846740000,1.076853904
0.846024000,1.078346090
0.845309000,1.079851560
0.844595000,1.081369324
0.843882000,1.082898352
0.843170000,1.084437578
0.842460000,1.085985329
0.841751000,1.087541022
0.841043000,1.089103493
0.840336000,1.090671544
0.839631000,1.092243352
0.838926000,1.093818846
0.838223000,1.095395557
0.837521000,1.096972774
0.836820000,1.098549169
0.836120000,1.100123391
0.835422000,1.101693500
0.834725000,1.103258700
0.834028000,1.104818141
0.833333000,1.106369302
0.832639000,1.107911320
0.831947000,1.109442266
0.831255000,1.110961717
0.830565000,1.112467258
0.829876000,1.113957947
0.829187000,1.115432743
0.828500000,1.116889377
0.827815000,1.118326504
0.827130000,1.119743405
0.826446000,1.121138292
0.825764000,1.122509525
0.825083000,1.123856020
0.824402000,1.125176552
0.823723000,1.126469424
0.823045000,1.127733493
0.822368000,1.128967443
0.821693000,1.130170027
0.821018000,1.131339953
0.820345000,1.132476122
0.819672000,1.133577093
0.819001000,1.134642047
0.818331000,1.135669705
0.817661000,1.136658585
0.816993000,1.137608331
0.816327000,1.138518111
0.815661000,1.139385990
0.814996000,1.140211476
0.814332000,1.140993673
0.813670000,1.141732516
0.813008000,1.142425706
0.812348000,1.143074127
0.811688000,1.143675287
0.811030000,1.144230462
0.810373000,1.144738115
0.809717000,1.145197693
0.809061000,1.145607379
0.808407000,1.145969262
0.807754000,1.146281711
0.807103000,1.146545925
0.806452000,1.146758594
0.805802000,1.146920944
0.805153000,1.147032786
0.804505000,1.147093984
0.803859000,1.147106414
0.803213000,1.147066213
0.802568000,1.146975280
0.801925000,1.146835894
0.801282000,1.146643855
0.800641000,1.146403832
0.800000000,1.146111397
0.799361000,1.145771648
0.798722000,1.145379927
0.798085000,1.144941757
0.797448000,1.144452247
0.796813000,1.143917340
0.796178000,1.143331914
0.795545000,1.142702317
0.794913000,1.142026292
0.794281000,1.141301307
0.793651000,1.140534305
0.793021000,1.139719591
0.792393000,1.138864485
0.791766000,1.137966534
0.791139000,1.137023024
0.790514000,1.136041819
0.789889000,1.135016664
0.789266000,1.133955765
0.788644000,1.132856459
0.788022000,1.131715846
0.787402000,1.130542609
0.786782000,1.129329961
0.786164000,1.128086883
0.785546000,1.126806383
0.784929000,1.125493545
0.784314000,1.124153702
