RA,DEC
10.68471,41.26875
11.88806,-25.2888
148.88826,69.06526
201.36565,-43.01871
196.36366,-49.4679
23.4621,30.65994
148.96846,69.6797
56.70214,68.09611
204.25383,-29.86576
189.99789,-11.62307
10.67427,40.86517
192.72145,41.12015
194.18207,21.68266
308.71805,60.15368
187.44499,8.00041
202.46957,47.19526
184.74008,47.30372
50.67412,-37.2082
198.95554,42.02929
40.66988,-0.01329
190.9167,11.55261
49.3275,-41.10807
166.45247,-0.0359
10.09198,41.6853
187.70593,12.3911
151.30824,-7.71858
170.06261,12.99129
210.80243,54.34875
35.63711,42.34832
61.94545,69.81243
339.26709,34.41592
143.04213,21.50083
169.73315,13.09221
189.08669,25.98739
140.51106,50.97648
287.44208,-63.85754
170.07091,13.58949
186.35022,18.19108
145.63867,-3.69914
186.54922,12.94597
40.10005,39.06325
187.99673,14.42041
138.08124,-24.1726
186.26575,12.88696
64.04361,-55.78014
161.95667,12.58163
133.17227,33.4218
192.61089,25.50076
202.49829,47.26613
161.6906,11.81994
41.57941,-30.27491
54.62118,-35.45074
114.21415,65.60255
192.14961,-5.80085
197.73463,37.05894
192.25911,-8.66435
188.51262,7.69914
3.72334,-39.19663
183.97685,13.1494
53.40191,-36.14066
146.41164,-31.19109
189.43166,11.81809
177.75743,-28.80621
190.53337,32.54151
190.70778,2.68778
54.71721,-26.33784
76.92643,-37.51305
189.20757,13.16287
169.56792,-32.8126
129.3526,-55.12374
168.32129,-26.75499
186.11761,7.31752
131.28436,-33.79476
185.72874,15.82238
228.97369,56.32885
160.99055,11.70361
193.09213,-1.19969
55.0496,-18.58038
188.91618,12.55604
162.0704,12.6293
190.50967,11.64693
63.01806,-32.87421
128.34517,-22.97367
186.86066,11.10754
63.93843,-55.59236
197.15636,-49.50641
9.74154,48.33738
54.71632,-35.59439
331.96841,31.35915
7.59122,-33.24535
221.23335,1.95474
344.29453,-36.46248
171.53577,43.58592
226.62317,55.76331
54.11496,-34.9763
259.2478,-62.82055
182.02507,65.17413
209.03015,5.25474
185.47896,4.47359
38.86555,-9.35601
186.61293,31.22352
114.09934,-69.53082
183.45122,14.90047
188.5354,2.65381
54.62412,-23.02769
36.90609,-1.15628
65.00175,-54.93781
13.72283,-37.68438
57.08638,70.13288
76.31023,-37.98075
226.62206,1.60537
191.28615,-0.46191
184.70677,14.41649
169.22774,18.05181
282.24118,-65.17344
51.57217,-21.33537
184.96111,29.6147
332.31769,-47.16666
20.4452,5.25672
94.65713,78.35702
199.95851,-27.41009
179.39993,53.37452
133.90721,78.22308
137.58397,7.03777
187.85014,25.77498
167.87903,55.67412
198.36473,36.59365
24.17405,15.78346
67.91473,-54.60227
137.90627,60.03721
179.58571,-50.97707
253.19304,-59.21694
23.57598,-29.41849
0.81228,16.14523
200.49023,-36.63021
178.45428,52.32654
200.07051,-21.82758
187.12347,17.08495
187.25011,13.97856
21.19883,9.53884
71.4273,-59.24741
151.45065,-67.37798
309.30872,66.10563
65.49509,-56.97475
359.45761,-32.59103
180.47154,-18.8772
185.02841,29.2805
218.16991,-44.17461
296.23416,-14.79758
187.45366,13.42932
192.20532,-41.31109
55.50647,-47.22208
167.49054,-37.53934
139.82732,69.20334
343.75394,-39.66137
40.43847,0.44318
319.75104,-48.56201
207.31334,60.19041
153.44031,3.42467
348.03162,-28.5396
150.49135,55.68
199.52112,-26.83722
187.50945,13.63645
188.86012,14.49632
35.76904,-21.23385
153.56291,3.46612
140.75441,-32.44976
302.47531,-48.37955
267.36047,70.14434
187.01622,9.80362
204.38362,8.88506
186.94022,13.00859
178.23065,36.98635
25.75979,13.64568
95.41574,-27.23374
186.91875,13.079
28.25218,-13.73868
180.09848,-1.1
200.44267,-27.43052
184.84692,5.82471
349.59842,-42.37057
29.83159,19.00754
165.07739,13.90123
179.48395,55.45355
188.87294,-3.79321
22.83648,-6.86806
182.76819,50.48468
193.23354,11.2308
190.83391,1.97836
45.30903,44.89721
150.82976,68.73373
188.18994,0.11504
187.04633,44.09356
154.22359,73.40069
110.97812,-27.52906
182.63608,39.40576
40.26999,-8.25583
215.08311,3.93359
183.77098,33.19728
187.65154,41.64363
191.27489,3.05571
54.23773,-35.50664
169.0195,-76.21632
189.98309,10.1761
52.78383,-33.62864
170.27855,3.23482
194.83864,-15.04217
212.09892,-47.97081
52.08195,-31.06818
154.52351,21.83194
181.39246,50.53903
205.75877,-48.16941
147.59264,72.27865
168.65417,12.81802
63.18019,-57.73796
193.07318,11.31366
225.29694,1.70197
181.66989,-29.76021
204.16269,-33.96588
133.38644,51.31358
172.8833,-30.30774
287.84848,-57.04957
188.58463,8.19776
200.30356,-43.70469
60.1157,68.57774
161.92667,13.98564
344.30655,-43.39614
181.76303,43.06539
226.35944,2.09932
50.98499,-36.46466
189.14288,11.23863
154.57077,41.42438
180.36205,61.8957
349.04486,-42.58483
81.69839,-63.76002
185.6335,29.89532
196.45383,-8.02041
17.3628,35.71796
146.81441,67.91638
179.85495,50.96169
208.36134,40.28308
