CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
2009cz,56,0.02343,0.00085,0.02315,1e-05,0.02227,1e-05,15.6052,0.258869,34.8582,0.260273,-9.0,0,1,0.00834,0.049726,0.73538,0.25892,15.5189,0.0411628,0.0111291,0.000421929,0.00116268,-3.53358e-05,-1.54388e-05,138.75,29.7353,-999,-999,-9.0,-82.8904,250,0.0222801,10.5159,0.001,54943.6,0.2198,22,6.11632,0.99966,0.1321,0.0797,-0.056,0.001,1.0,0.007
2009cz,5,0.02343,0.00085,0.02315,1e-05,0.02227,1e-05,15.6052,0.168487,34.8582,0.170636,-9.0,0,1,-0.02851,0.021882,0.70449,0.051791,15.4303,0.0256619,0.0120744,0.000285383,-0.000113426,5.90533e-07,-4.82562e-06,138.75,29.7353,-999,-999,-9.0,-82.8904,250,0.0222801,10.5159,0.13,54944.0,0.0479,28,8.37327,0.99988,0.052,0.0797,-0.0352,0.001,1.0,0.004
ASASSN-15nr,150,0.02344,0.00087,0.02309,0.00018,0.0232,0.00018,15.5801,0.262385,34.8331,0.263771,-9.0,0,1,0.028589,0.039662,1.20679,0.19025,15.5816,0.0829089,0.0105042,0.000802121,0.000708509,-1.49877e-05,-2.54093e-05,261.674,13.9098,-999,-999,-9.0,-101.959,250,0.11158,9.88465,0.013,57250.1,0.1506,8,10.0364,0.26248,0.0792,0.0815,0.0387,0.002,1.0,0.018
2004bk,57,0.02352,0.00085,0.02405,1e-05,0.02306,1e-05,15.5861,0.214185,34.8391,0.21588,-9.0,0,1,-0.022127,0.026292,0.47024,0.0686,15.5119,0.0354353,0.0112004,0.000365548,-0.000187288,2.07298e-07,-7.26099e-06,204.37,4.1031,-999,-999,-9.0,155.85,250,0.0218071,7.0,-9.0,53113.5,0.2801,41,38.9738,0.56101,0.0615,0.0794,0.0112,0.002,1.0,0.009
2007qe,57,0.02357,0.00085,0.0228,5e-05,0.02396,5e-05,15.7876,0.2048,35.0406,0.206572,-9.0,0,1,-0.016581,0.026886,0.34568,0.069934,15.7493,0.0360905,0.00900033,0.000299176,3.09335e-05,-2.54102e-06,-6.56791e-06,358.554,27.4093,-999,-999,-9.0,-227.141,250,0.0329468,8.34246,-9.0,54429.7,0.0533,33,39.4067,0.20508,0.059,0.0792,0.0116,0.002,1.0,0.01
2007qe,64,0.02357,0.00085,0.0228,5e-05,0.02396,5e-05,15.6979,0.257717,34.9509,0.259128,-9.0,0,1,0.044782,0.026522,0.68284,0.04526,15.8094,0.036172,0.00851616,0.000283722,-6.7233e-05,-7.12697e-07,-5.93927e-06,358.554,27.4093,-999,-999,-9.0,-227.141,250,0.0329468,8.34246,0.375,54429.8,0.0363,74,111.699,0.00305636,0.059,0.0792,0.0214,0.004,1.0,0.021
ATLAS17bas,150,0.02357,0.00085,0.02331,1e-05,0.02222,1e-05,15.3185,0.260349,34.5715,0.261746,-9.0,0,1,0.027298,0.033387,0.80072,0.12208,15.3776,0.0398948,0.0126753,0.000465747,-5.06449e-06,-1.08059e-05,-1.33422e-05,166.898,22.8514,-999,-999,-9.0,-76.1109,250,0.0196324,8.18544,0.001,57813.2,0.1451,7,13.4349,0.0621951,0.0761,0.0792,0.0404,0.001,1.0,0.018
ASASSN-15tz,150,0.02365,0.00085,0.0222,3e-05,0.02286,3e-05,15.7013,0.272706,34.9543,0.274039,-9.0,0,1,0.11405,0.045533,-1.51814,0.1542,16.2645,0.10167,0.0056004,0.000524417,0.000460562,-1.00231e-05,-1.89695e-05,40.287,43.6802,-999,-999,-9.0,-424.049,250,0.14106,10.1999,0.005,57376.1,0.1787,8,3.81395,0.87351,0.0899,0.079,-0.0659,0.002,1.0,0.019
2010ao,51,0.02369,0.00085,0.02422,1e-05,0.02324,1e-05,15.69,0.208056,34.943,0.2098,-9.0,0,1,-0.093006,0.031168,-0.432206,0.13307,15.5645,0.0363036,0.0106705,0.00035679,6.39618e-05,-9.025e-06,-9.12891e-06,205.921,3.9,-999,-999,-9.0,155.85,250,0.0225968,8.813,0.003,55289.1,0.1699,30,21.2284,0.88061,0.0739,0.0788,0.046,0.002,1.0,0.006
2006sr,64,0.02388,0.00085,0.02307,1e-05,0.02425,1e-05,15.7419,0.178773,34.9949,0.180801,-9.0,0,1,-0.015239,0.031519,-1.36612,0.117,15.9144,0.0609277,0.00773082,0.000433826,1.96782e-05,-4.47924e-07,-1.0571e-05,0.8959,23.1962,-999,-999,-9.0,-237.713,250,0.0809657,10.7951,0.05,54092.8,0.1209,34,38.5211,0.27233,0.0658,0.0782,-0.0343,0.001,1.0,0.005
