z,mu,sigma
0.00122,9.74571,588.6207494728673
0.00122,9.80286,1.5285922097472564
0.00256,11.4703,1.868355581012351
0.00256,11.4919,3.5119021679141347
0.00299,11.5227,4.536610574757327
0.00317,11.5416,4.438298734537819
0.00331,11.2074,1.0947484820268079
0.00331,11.2998,1.5675140455511076
0.00331,11.1483,1.4322410486018056
0.00331,11.2577,1.37056014833352
0.00333,12.2481,1.2279507514554482
0.00349,12.5403,1.2459165443560014
0.00349,12.2437,1.0833893022362737
0.00359,12.4439,1.2249492951138834
0.00384,11.7469,1.744487931113311
0.00407,12.1403,1.6594626370605636
0.00407,12.1249,1.675248283270274
0.00432,12.246,1.6659801496116333
0.00432,12.3081,3.2005120748092795
0.00465,12.6779,1.8965720911950592
0.00465,12.78,1.4374974306759647
0.00482,11.9946,2.5687846724083356
0.00483,11.8801,3.3460031292573533
0.00483,12.3995,3.1881349155893637
0.00483,11.9704,3.4787644253383987
0.00483,12.087,2.6377135341048694
0.00483,12.5105,1.656742509897057
0.00488,12.1943,1.3819582860926014
0.00488,12.286,1.7071243516217558
0.00538,12.3982,2.380366694524186
0.00548,12.4752,3.041407573575104
0.0057,12.6587,2.683533199515147
0.0057,12.6455,2.835388414838433
0.00571,12.4269,2.2966976113977218
0.00571,12.3762,2.23983608621256
0.00587,12.4873,2.552650872113145
0.00588,12.9292,2.473502574104179
0.00592,13.2155,2.4689047442337664
0.00602,12.6874,2.501918595078585
0.00602,12.8136,1.7890708122654062
0.00602,12.6572,1.7807877685451459
0.00616,11.6549,2.4806891595885205
0.00616,11.9327,3.0381820312318353
0.00625,12.8137,1.8796493382011443
0.00625,12.7493,1.5812664370687186
0.00625,12.8469,1.6043625603335425
0.00625,12.7807,1.3691085609622051
0.0063,12.8224,2.3735346788492473
0.0063,12.8313,4.2332915929569515
0.0063,12.7673,4.1762715511566055
0.00631,13.5803,3.395476610138848
0.00634,13.1471,3.200926897790701
0.00648,13.2078,2.1615081601974118
0.00648,13.1808,1.5275470477533581
0.00665,12.4791,2.5763227851726964
0.00668,11.9687,2.9723187217726164
0.00673,13.1063,1.8152120460431063
0.00676,12.7203,2.189386510463605
0.00677,12.9421,2.1303230951665526
0.00677,12.9199,2.307191423419392
0.00677,12.9518,2.4178759943801915
0.00692,13.1875,2.340471222724176
0.0071,13.0663,2.325251061541527
0.0071,13.0797,2.318507772922058
0.0071,13.0691,2.3257104089288503
0.00719,13.1893,1.2866623813961455
0.00719,13.2112,1.5969574687824344
0.00747,13.5413,1.18115703947443
0.00747,13.4893,1.7154798603889234
0.00747,13.5155,1.6604309972714915
0.0075,13.0782,1.793677242259599
0.0075,13.0468,2.3808719408863634
0.00795,13.3888,2.234836807285937
0.00814,13.4634,1.8509349443727081
0.00814,13.3621,2.2888245921651578
0.00814,13.4562,1.976342185882799
0.00815,13.1181,1.8782770873862036
0.00815,13.4904,2.1106058584207523
0.00815,13.4177,2.1132263819572197
0.00817,13.1925,2.5008542472523265
0.00818,13.231,2.6497583256402835
0.00821,13.9608,2.4154875610319335
0.00838,13.268,2.8221329802651045
0.00838,13.4392,3.696511345579775
0.00855,13.4398,2.520414419673876
0.00855,13.599,1.762308660053624
0.00857,13.4997,1.3222638102890059
0.00861,13.4693,1.9505123179821244
0.00863,13.1214,2.1864499434700075
0.00863,13.1415,2.119151645470423
0.00863,13.082,2.1174671716227387
0.00864,13.1668,2.2696852753630843
0.00883,13.6086,2.270549137917962
0.00906,13.546,1.9589888321784787
0.00906,13.4968,2.9739184348936
0.00925,13.6384,2.1252717571877717
0.00925,13.6443,2.352497934600581
0.00925,13.6629,2.344661496826354
0.00935,13.0823,2.165092722702656
0.00954,13.7869,2.100854545655172
0.00954,13.9605,1.568265162623974
0.00954,13.9779,1.7122001332788175
0.00954,13.9939,1.5891882189344344
0.00957,13.648,1.5459678823313245
0.00957,13.6124,2.062173105949159
0.00966,13.5499,2.06715270064889
0.00966,13.6635,2.6340803972734013
0.00993,14.2223,2.1264983682335616
0.00996,13.3927,2.415270056142791
0.00996,13.4928,3.8100117657298647
0.00996,13.6485,3.4387143673181115
0.01016,13.5264,2.107113884036646
0.01017,13.6652,2.139537539235991
0.01017,13.7144,2.6612876869478055
0.01026,14.0848,1.924412600327695
0.01026,13.9723,2.065204752706133
0.01028,14.0258,1.5040384157327897
0.01042,13.8706,1.6035681307633924
0.01044,13.8339,2.17622844262729
0.01061,14.1276,2.0414890845654794
0.01061,14.0401,2.652779379160657
0.01073,13.8551,1.9998081198455016
0.01079,13.8153,2.2257774419963914
0.01079,13.9279,3.465357111756305
0.01096,14.3179,2.1770562983992856
0.01114,14.4807,1.977191028049642
0.01114,14.3839,2.301418586633036
0.01122,14.5817,1.9978854748458432
0.01122,14.1806,1.9672241117371452
