a,D_LCDM,D_visc_k0_k=0.050000hMpc,D_visc_k1_k=0.240000hMpc,D_visc_k2_k=0.430000hMpc,D_visc_k3_k=0.620000hMpc,D_visc_k4_k=0.810000hMpc,D_visc_k5_k=1.000000hMpc
5.00000000e-03,7.97027620e-05,8.98864554e-05,7.22392773e-04,7.79240250e-03,2.18353299e-04,1.14448501e-07,1.57837420e-11
1.00000000e-02,1.05407889e-02,1.14227070e-02,2.21544218e-02,-7.27610034e+00,-2.09066706e+00,-5.82255986e-03,-2.95099025e-06
1.50000000e-02,1.80042353e-02,1.92034757e-02,4.87894940e-02,-9.30762908e+00,-5.46148237e+01,-1.46932094e+00,-4.37131374e-03
2.00000000e-02,2.48613330e-02,2.62584097e-02,6.25648193e-02,-2.77517515e+00,-1.36674304e+02,-3.67859146e+01,-6.71320764e-01
2.50000000e-02,3.15111499e-02,3.30570665e-02,7.30677939e-02,-8.33108577e-01,-7.24777247e+01,-1.62648465e+02,-1.87482095e+01
3.00000000e-02,3.80688150e-02,3.97359030e-02,8.23050483e-02,-2.47313509e-01,-2.14161516e+01,-1.86510593e+02,-1.32470244e+02
3.50000000e-02,4.45784929e-02,4.63482923e-02,9.08936233e-02,-2.22078271e-02,-6.45061616e+00,-8.42636536e+01,-2.98615041e+02
4.00000000e-02,5.10603499e-02,5.29193066e-02,9.90843230e-02,8.32444688e-02,-2.15100979e+00,-2.50166401e+01,-2.65146981e+02
4.50000000e-02,5.75247455e-02,5.94622933e-02,1.07000597e-01,1.40973098e-01,-7.08621231e-01,-6.90785442e+00,-1.19824266e+02
5.00000000e-02,6.39774698e-02,6.59850330e-02,1.14712115e-01,1.76822612e-01,-1.43432151e-01,-1.86887186e+00,-3.72966767e+01
5.50000000e-02,7.04219667e-02,7.24923822e-02,1.22262350e-01,2.01507077e-01,1.09415683e-01,-3.43962069e-01,-1.01128166e+01
6.00000000e-02,7.68603808e-02,7.89875357e-02,1.29680544e-01,2.19988886e-01,2.36049290e-01,1.77752294e-01,-2.51357380e+00
6.50000000e-02,8.32940926e-02,8.54726826e-02,1.36987523e-01,2.34777755e-01,3.06082889e-01,3.79660187e-01,-3.63951200e-01
7.00000000e-02,8.97240094e-02,9.19493703e-02,1.44198783e-01,2.47236937e-01,3.48454547e-01,4.67639551e-01,2.94193126e-01
7.50000000e-02,9.61507332e-02,9.84187185e-02,1.51326259e-01,2.58152106e-01,3.76297084e-01,5.10766893e-01,5.17072008e-01
8.00000000e-02,1.02574661e-01,1.04881551e-01,1.58379397e-01,2.67999275e-01,3.96025254e-01,5.34618978e-01,6.01334704e-01
8.50000000e-02,1.08996047e-01,1.11338479e-01,1.65365838e-01,2.77079476e-01,4.10973855e-01,5.49523082e-01,6.37341126e-01
9.00000000e-02,1.15415044e-01,1.17789959e-01,1.72291875e-01,2.85590301e-01,4.22971743e-01,5.59976198e-01,6.55076267e-01
9.50000000e-02,1.21831731e-01,1.24236326e-01,1.79162764e-01,2.93665768e-01,4.33069554e-01,5.68070198e-01,6.65332937e-01
1.00000000e-01,1.28246128e-01,1.30677827e-01,1.85982954e-01,3.01399449e-01,4.41895962e-01,5.74836512e-01,6.72295828e-01
1.05000000e-01,1.34658212e-01,1.37114635e-01,1.92756247e-01,3.08858401e-01,4.49841010e-01,5.80810835e-01,6.77700460e-01
1.10000000e-01,1.41067926e-01,1.43546863e-01,1.99485918e-01,3.16091817e-01,4.57154663e-01,5.86284802e-01,6.82311962e-01
1.15000000e-01,1.47475181e-01,1.49974576e-01,2.06174814e-01,3.23136558e-01,4.64001894e-01,5.91424206e-01,6.86487121e-01
1.20000000e-01,1.53879869e-01,1.56397800e-01,2.12825420e-01,3.30020780e-01,4.70494538e-01,5.96327200e-01,6.90401298e-01
1.25000000e-01,1.60281857e-01,1.62816525e-01,2.19439921e-01,3.36766374e-01,4.76710304e-01,6.01054183e-01,6.94145156e-01
1.30000000e-01,1.66680998e-01,1.69230712e-01,2.26020243e-01,3.43390632e-01,4.82704436e-01,6.05643733e-01,6.97767988e-01
1.35000000e-01,1.73077127e-01,1.75640297e-01,2.32568092e-01,3.49907419e-01,4.88517059e-01,6.10121402e-01,7.01298009e-01
1.40000000e-01,1.79470067e-01,1.82045190e-01,2.39084986e-01,3.56327999e-01,4.94177899e-01,6.14504731e-01,7.04752257e-01
1.45000000e-01,1.85859627e-01,1.88445283e-01,2.45572274e-01,3.62661638e-01,4.99709400e-01,6.18806182e-01,7.08141610e-01
1.50000000e-01,1.92245604e-01,1.94840449e-01,2.52031162e-01,3.68916043e-01,5.05128807e-01,6.23034914e-01,7.11473419e-01
1.55000000e-01,1.98627787e-01,2.01230544e-01,2.58462728e-01,3.75097693e-01,5.10449594e-01,6.27197876e-01,7.14752938e-01
1.60000000e-01,2.05005952e-01,2.07615408e-01,2.64867936e-01,3.81212082e-01,5.15682453e-01,6.31300497e-01,7.17984122e-01
1.65000000e-01,2.11379866e-01,2.13994868e-01,2.71247649e-01,3.87263913e-01,5.20835995e-01,6.35347136e-01,7.21170090e-01
1.70000000e-01,2.17749290e-01,2.20368737e-01,2.77602641e-01,3.93257239e-01,5.25917249e-01,6.39341380e-01,7.24313398e-01
1.75000000e-01,2.24113972e-01,2.26736814e-01,2.83933602e-01,3.99195581e-01,5.30932031e-01,6.43286240e-01,7.27416206e-01
1.80000000e-01,2.30473654e-01,2.33098890e-01,2.90241153e-01,4.05082016e-01,5.35885205e-01,6.47184295e-01,7.30480387e-01
1.85000000e-01,2.36828072e-01,2.39454742e-01,2.96525845e-01,4.10919249e-01,5.40780889e-01,6.51037786e-01,7.33507597e-01
1.90000000e-01,2.43176952e-01,2.45804138e-01,3.02788171e-01,4.16709668e-01,5.45622600e-01,6.54848684e-01,7.36499319e-01
1.95000000e-01,2.49520013e-01,2.52146836e-01,3.09028569e-01,4.22455395e-01,5.50413374e-01,6.58618746e-01,7.39456895e-01
2.00000000e-01,2.55856967e-01,2.58482584e-01,3.15247426e-01,4.28158323e-01,5.55155852e-01,6.62349552e-01,7.42381552e-01
