epsilon,ratio_accretion_to_observed,delta_rho_from_accretion_Msun_Mpc3,observed_delta_rhoBH_Msun_Mpc3
0.010000,1.431380,6.011797e+05,4.200000e+05
0.010500,1.363219,5.725521e+05,4.200000e+05
0.011000,1.301255,5.465270e+05,4.200000e+05
0.011500,1.244679,5.227650e+05,4.200000e+05
0.012000,1.192817,5.009831e+05,4.200000e+05
0.012500,1.145104,4.809438e+05,4.200000e+05
0.013000,1.101062,4.624460e+05,4.200000e+05
0.013500,1.060282,4.453183e+05,4.200000e+05
0.014000,1.022415,4.294141e+05,4.200000e+05
0.014500,0.987159,4.146067e+05,4.200000e+05
0.015000,0.954254,4.007865e+05,4.200000e+05
0.015500,0.923471,3.878579e+05,4.200000e+05
0.016000,0.894613,3.757374e+05,4.200000e+05
0.016500,0.867503,3.643514e+05,4.200000e+05
0.017000,0.841988,3.536352e+05,4.200000e+05
0.017500,0.817932,3.435312e+05,4.200000e+05
0.018000,0.795211,3.339887e+05,4.200000e+05
0.018500,0.773719,3.249620e+05,4.200000e+05
0.019000,0.753358,3.164104e+05,4.200000e+05
0.019500,0.734041,3.082973e+05,4.200000e+05
0.020000,0.715690,3.005899e+05,4.200000e+05
0.020500,0.698234,2.932584e+05,4.200000e+05
0.021000,0.681610,2.862761e+05,4.200000e+05
0.021500,0.665758,2.796185e+05,4.200000e+05
0.022000,0.650627,2.732635e+05,4.200000e+05
0.022500,0.636169,2.671910e+05,4.200000e+05
0.023000,0.622339,2.613825e+05,4.200000e+05
0.023500,0.609098,2.558211e+05,4.200000e+05
0.024000,0.596409,2.504916e+05,4.200000e+05
0.024500,0.584237,2.453795e+05,4.200000e+05
0.025000,0.572552,2.404719e+05,4.200000e+05
