epsilon,ratio_accretion_to_observed,delta_rho_from_accretion_Msun_Mpc3,observed_delta_rhoBH_Msun_Mpc3
0.014250,1.004477,4.218805e+05,4.200000e+05
0.014253,1.004266,4.217917e+05,4.200000e+05
0.014255,1.004125,4.217325e+05,4.200000e+05
0.014258,1.003914,4.216438e+05,4.200000e+05
0.014260,1.003773,4.215847e+05,4.200000e+05
0.014263,1.003562,4.214960e+05,4.200000e+05
0.014265,1.003421,4.214369e+05,4.200000e+05
0.014268,1.003210,4.213483e+05,4.200000e+05
0.014270,1.003070,4.212892e+05,4.200000e+05
0.014273,1.002859,4.212007e+05,4.200000e+05
0.014275,1.002718,4.211417e+05,4.200000e+05
0.014278,1.002508,4.210532e+05,4.200000e+05
0.014280,1.002367,4.209942e+05,4.200000e+05
0.014283,1.002157,4.209058e+05,4.200000e+05
0.014285,1.002016,4.208469e+05,4.200000e+05
0.014287,1.001876,4.207879e+05,4.200000e+05
0.014290,1.001666,4.206996e+05,4.200000e+05
0.014292,1.001526,4.206407e+05,4.200000e+05
0.014295,1.001315,4.205525e+05,4.200000e+05
0.014298,1.001105,4.204642e+05,4.200000e+05
0.014300,1.000965,4.204054e+05,4.200000e+05
0.014303,1.000755,4.203172e+05,4.200000e+05
0.014305,1.000615,4.202584e+05,4.200000e+05
0.014308,1.000406,4.201704e+05,4.200000e+05
0.014310,1.000266,4.201116e+05,4.200000e+05
0.014313,1.000056,4.200236e+05,4.200000e+05
0.014315,0.999916,4.199649e+05,4.200000e+05
0.014318,0.999707,4.198769e+05,4.200000e+05
0.014320,0.999567,4.198182e+05,4.200000e+05
0.014323,0.999358,4.197303e+05,4.200000e+05
0.014325,0.999218,4.196717e+05,4.200000e+05
0.014327,0.999079,4.196132e+05,4.200000e+05
0.014330,0.998870,4.195253e+05,4.200000e+05
0.014332,0.998730,4.194668e+05,4.200000e+05
0.014335,0.998521,4.193789e+05,4.200000e+05
0.014338,0.998312,4.192912e+05,4.200000e+05
0.014340,0.998173,4.192327e+05,4.200000e+05
0.014343,0.997964,4.191450e+05,4.200000e+05
0.014345,0.997825,4.190866e+05,4.200000e+05
0.014348,0.997617,4.189990e+05,4.200000e+05
0.014350,0.997478,4.189406e+05,4.200000e+05
0.014353,0.997269,4.188530e+05,4.200000e+05
0.014355,0.997130,4.187946e+05,4.200000e+05
0.014358,0.996922,4.187071e+05,4.200000e+05
0.014360,0.996783,4.186488e+05,4.200000e+05
0.014363,0.996575,4.185614e+05,4.200000e+05
0.014365,0.996436,4.185031e+05,4.200000e+05
0.014368,0.996228,4.184157e+05,4.200000e+05
0.014370,0.996089,4.183575e+05,4.200000e+05
0.014372,0.995951,4.182993e+05,4.200000e+05
0.014375,0.995743,4.182120e+05,4.200000e+05
0.014377,0.995604,4.181538e+05,4.200000e+05
0.014380,0.995397,4.180666e+05,4.200000e+05
