"# Digitization worksheet: Hopkins, Richards & Hernquist (2006) — Bolometric QLF"
"# If using parametric fits, set 'from_fit' to 1 and include parameters in notes."
z_bin_center,z_bin_low,z_bin_high,log10_Lbol_erg_s,phi_Mpc3_dex,sigma_phi,from_fit,band_set,fig_panel,source_id,notes
0.5,,,44.000,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,44.214,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,44.429,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,44.643,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,44.857,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,45.071,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,45.286,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,45.500,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,45.714,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,45.929,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,46.143,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,46.357,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,46.571,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,46.786,,,0,bolometric,grid,SEED,grid@balanced
0.5,,,47.000,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,44.000,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,44.214,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,44.429,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,44.643,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,44.857,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,45.071,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,45.286,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,45.500,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,45.714,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,45.929,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,46.143,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,46.357,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,46.571,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,46.786,,,0,bolometric,grid,SEED,grid@balanced
1.0,,,47.000,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,44.000,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,44.214,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,44.429,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,44.643,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,44.857,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,45.071,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,45.286,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,45.500,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,45.714,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,45.929,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,46.143,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,46.357,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,46.571,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,46.786,,,0,bolometric,grid,SEED,grid@balanced
2.0,,,47.000,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,44.000,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,44.214,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,44.429,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,44.643,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,44.857,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,45.071,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,45.286,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,45.500,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,45.714,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,45.929,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,46.143,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,46.357,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,46.571,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,46.786,,,0,bolometric,grid,SEED,grid@balanced
3.0,,,47.000,,,0,bolometric,grid,SEED,grid@balanced
