gamma,f,A,delta_chi2
1.4,2.4,0.9,42.480000000000075
1.4,2.4,0.92,41.760000000000076
1.4,2.4,0.9400000000000001,41.200000000000074
1.4,2.4,0.9600000000000001,40.800000000000075
1.4,2.4,0.9800000000000001,40.56000000000007
1.4,2.4,1.0,40.480000000000075
1.4,2.4,1.02,40.56000000000007
1.4,2.4,1.04,40.800000000000075
1.4,2.4,1.06,41.200000000000074
1.4,2.4,1.08,41.760000000000076
1.4,2.4,1.1,42.480000000000075
1.4,2.4099999999999997,0.9,40.53000000000011
1.4,2.4099999999999997,0.92,39.81000000000011
1.4,2.4099999999999997,0.9400000000000001,39.25000000000011
1.4,2.4099999999999997,0.9600000000000001,38.85000000000011
1.4,2.4099999999999997,0.9800000000000001,38.610000000000106
1.4,2.4099999999999997,1.0,38.53000000000011
1.4,2.4099999999999997,1.02,38.610000000000106
1.4,2.4099999999999997,1.04,38.85000000000011
1.4,2.4099999999999997,1.06,39.25000000000011
1.4,2.4099999999999997,1.08,39.81000000000011
1.4,2.4099999999999997,1.1,40.530000000000115
1.4,2.42,0.9,38.680000000000064
1.4,2.42,0.92,37.960000000000065
1.4,2.42,0.9400000000000001,37.40000000000006
1.4,2.42,0.9600000000000001,37.000000000000064
1.4,2.42,0.9800000000000001,36.76000000000006
1.4,2.42,1.0,36.680000000000064
1.4,2.42,1.02,36.76000000000006
1.4,2.42,1.04,37.000000000000064
1.4,2.42,1.06,37.40000000000006
1.4,2.42,1.08,37.960000000000065
1.4,2.42,1.1,38.680000000000064
1.4,2.4299999999999997,0.9,36.9300000000001
1.4,2.4299999999999997,0.92,36.2100000000001
1.4,2.4299999999999997,0.9400000000000001,35.6500000000001
1.4,2.4299999999999997,0.9600000000000001,35.2500000000001
1.4,2.4299999999999997,0.9800000000000001,35.0100000000001
1.4,2.4299999999999997,1.0,34.9300000000001
1.4,2.4299999999999997,1.02,35.0100000000001
1.4,2.4299999999999997,1.04,35.2500000000001
1.4,2.4299999999999997,1.06,35.6500000000001
1.4,2.4299999999999997,1.08,36.2100000000001
1.4,2.4299999999999997,1.1,36.930000000000106
1.4,2.44,0.9,35.28000000000006
1.4,2.44,0.92,34.56000000000006
1.4,2.44,0.9400000000000001,34.00000000000006
1.4,2.44,0.9600000000000001,33.60000000000006
1.4,2.44,0.9800000000000001,33.360000000000056
1.4,2.44,1.0,33.28000000000006
1.4,2.44,1.02,33.360000000000056
1.4,2.44,1.04,33.60000000000006
1.4,2.44,1.06,34.00000000000006
1.4,2.44,1.08,34.56000000000006
1.4,2.44,1.1,35.28000000000006
1.4,2.4499999999999997,0.9,33.73000000000009
1.4,2.4499999999999997,0.92,33.01000000000009
1.4,2.4499999999999997,0.9400000000000001,32.45000000000009
1.4,2.4499999999999997,0.9600000000000001,32.05000000000009
1.4,2.4499999999999997,0.9800000000000001,31.810000000000088
1.4,2.4499999999999997,1.0,31.73000000000009
1.4,2.4499999999999997,1.02,31.81000000000009
1.4,2.4499999999999997,1.04,32.05000000000009
1.4,2.4499999999999997,1.06,32.45000000000009
1.4,2.4499999999999997,1.08,33.01000000000009
1.4,2.4499999999999997,1.1,33.73000000000009
1.4,2.46,0.9,32.28000000000005
1.4,2.46,0.92,31.56000000000005
1.4,2.46,0.9400000000000001,31.00000000000005
1.4,2.46,0.9600000000000001,30.60000000000005
1.4,2.46,0.9800000000000001,30.36000000000005
1.4,2.46,1.0,30.28000000000005
1.4,2.46,1.02,30.360000000000053
1.4,2.46,1.04,30.60000000000005
1.4,2.46,1.06,31.000000000000053
1.4,2.46,1.08,31.560000000000052
1.4,2.46,1.1,32.28000000000006
1.4,2.4699999999999998,0.9,30.930000000000078
1.4,2.4699999999999998,0.92,30.210000000000075
1.4,2.4699999999999998,0.9400000000000001,29.650000000000077
1.4,2.4699999999999998,0.9600000000000001,29.250000000000078
1.4,2.4699999999999998,0.9800000000000001,29.010000000000076
1.4,2.4699999999999998,1.0,28.930000000000078
1.4,2.4699999999999998,1.02,29.01000000000008
1.4,2.4699999999999998,1.04,29.250000000000078
1.4,2.4699999999999998,1.06,29.65000000000008
1.4,2.4699999999999998,1.08,30.21000000000008
1.4,2.4699999999999998,1.1,30.93000000000008
1.4,2.48,0.9,29.68000000000005
1.4,2.48,0.92,28.960000000000047
1.4,2.48,0.9400000000000001,28.40000000000005
1.4,2.48,0.9600000000000001,28.00000000000005
1.4,2.48,0.9800000000000001,27.760000000000048
1.4,2.48,1.0,27.68000000000005
1.4,2.48,1.02,27.76000000000005
1.4,2.48,1.04,28.00000000000005
1.4,2.48,1.06,28.400000000000052
1.4,2.48,1.08,28.96000000000005
1.4,2.48,1.1,29.680000000000053
1.4,2.4899999999999998,0.9,28.530000000000072
1.4,2.4899999999999998,0.92,27.81000000000007
1.4,2.4899999999999998,0.9400000000000001,27.25000000000007
1.4,2.4899999999999998,0.9600000000000001,26.850000000000072
1.4,2.4899999999999998,0.9800000000000001,26.61000000000007
1.4,2.4899999999999998,1.0,26.530000000000072
1.4,2.4899999999999998,1.02,26.610000000000074
1.4,2.4899999999999998,1.04,26.850000000000072
1.4,2.4899999999999998,1.06,27.250000000000075
1.4,2.4899999999999998,1.08,27.810000000000073
1.4,2.4899999999999998,1.1,28.530000000000076
1.4,2.5,0.9,27.480000000000047
1.4,2.5,0.92,26.760000000000044
1.4,2.5,0.9400000000000001,26.200000000000045
1.4,2.5,0.9600000000000001,25.800000000000047
1.4,2.5,0.9800000000000001,25.560000000000045
1.4,2.5,1.0,25.480000000000047
1.4,2.5,1.02,25.56000000000005
1.4,2.5,1.04,25.800000000000047
1.4,2.5,1.06,26.20000000000005
1.4,2.5,1.08,26.760000000000048
1.4,2.5,1.1,27.48000000000005
1.4,2.51,0.9,26.530000000000065
1.4,2.51,0.92,25.810000000000063
1.4,2.51,0.9400000000000001,25.250000000000064
1.4,2.51,0.9600000000000001,24.850000000000065
1.4,2.51,0.9800000000000001,24.610000000000063
1.4,2.51,1.0,24.530000000000065
1.4,2.51,1.02,24.610000000000067
1.4,2.51,1.04,24.850000000000065
1.4,2.51,1.06,25.250000000000068
1.4,2.51,1.08,25.810000000000066
1.4,2.51,1.1,26.53000000000007
1.4,2.52,0.9,25.680000000000042
1.4,2.52,0.92,24.96000000000004
1.4,2.52,0.9400000000000001,24.40000000000004
1.4,2.52,0.9600000000000001,24.000000000000043
1.4,2.52,0.9800000000000001,23.76000000000004
1.4,2.52,1.0,23.680000000000042
1.4,2.52,1.02,23.760000000000044
1.4,2.52,1.04,24.000000000000043
1.4,2.52,1.06,24.400000000000045
1.4,2.52,1.08,24.960000000000043
1.4,2.52,1.1,25.680000000000046
1.4,2.53,0.9,24.930000000000057
1.4,2.53,0.92,24.210000000000054
1.4,2.53,0.9400000000000001,23.650000000000055
1.4,2.53,0.9600000000000001,23.250000000000057
1.4,2.53,0.9800000000000001,23.010000000000055
1.4,2.53,1.0,22.930000000000057
1.4,2.53,1.02,23.01000000000006
1.4,2.53,1.04,23.250000000000057
1.4,2.53,1.06,23.65000000000006
1.4,2.53,1.08,24.210000000000058
1.4,2.53,1.1,24.93000000000006
1.4,2.54,0.9,24.28000000000004
1.4,2.54,0.92,23.560000000000038
1.4,2.54,0.9400000000000001,23.00000000000004
1.4,2.54,0.9600000000000001,22.60000000000004
1.4,2.54,0.9800000000000001,22.36000000000004
1.4,2.54,1.0,22.28000000000004
1.4,2.54,1.02,22.360000000000042
1.4,2.54,1.04,22.60000000000004
1.4,2.54,1.06,23.000000000000043
1.4,2.54,1.08,23.56000000000004
1.4,2.54,1.1,24.280000000000044
1.4,2.55,0.9,23.73000000000005
1.4,2.55,0.92,23.010000000000048
1.4,2.55,0.9400000000000001,22.45000000000005
1.4,2.55,0.9600000000000001,22.05000000000005
1.4,2.55,0.9800000000000001,21.81000000000005
1.4,2.55,1.0,21.73000000000005
1.4,2.55,1.02,21.810000000000052
1.4,2.55,1.04,22.05000000000005
1.4,2.55,1.06,22.450000000000053
1.4,2.55,1.08,23.01000000000005
1.4,2.55,1.1,23.730000000000054
1.4,2.56,0.9,23.280000000000037
1.4,2.56,0.92,22.560000000000034
1.4,2.56,0.9400000000000001,22.000000000000036
1.4,2.56,0.9600000000000001,21.600000000000037
1.4,2.56,0.9800000000000001,21.360000000000035
1.4,2.56,1.0,21.280000000000037
1.4,2.56,1.02,21.36000000000004
1.4,2.56,1.04,21.600000000000037
1.4,2.56,1.06,22.00000000000004
1.4,2.56,1.08,22.560000000000038
1.4,2.56,1.1,23.28000000000004
1.4,2.57,0.9,22.930000000000042
1.4,2.57,0.92,22.21000000000004
