material,E_Pa,rho_kg_m3,b_m,h_m,A_m2,I_m4,L_m,boundary_condition,mode,lambda_n,frequency_hz
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),1,1.87510407,18.119571257508536
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),2,4.69409113,113.55341444373677
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),3,7.85475744,317.95284904971027
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Cantilever (fixed-free),4,10.99554073,623.0606839944704
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,1,3.141592653589793,50.86240710767958
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,2,6.283185307179586,203.44962843071832
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,3,9.42477796076938,457.7616639691163
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Simply supported,4,12.566370614359172,813.7985137228733
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,1,4.73004074,115.29936806081764
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,2,7.85320462,317.82714822589224
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,3,10.99560784,623.0682895740653
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.3,Fixed–fixed,4,14.13716839,1029.9639550419545
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),1,1.87510407,6.523045652703074
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),2,4.69409113,40.87922919974524
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),3,7.85475744,114.4630256578957
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Cantilever (fixed-free),4,10.99554073,224.30184623800935
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,1,3.141592653589793,18.31046655876465
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,2,6.283185307179586,73.2418662350586
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,3,9.42477796076938,164.79419902888185
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Simply supported,4,12.566370614359172,292.9674649402344
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,1,4.73004074,41.50777250189435
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,2,7.85320462,114.41777336132121
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,3,10.99560784,224.3045842466635
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,0.5,Fixed–fixed,4,14.13716839,370.7870238151036
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),1,1.87510407,1.6307614131757684
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),2,4.69409113,10.21980729993631
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),3,7.85475744,28.615756414473925
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Cantilever (fixed-free),4,10.99554073,56.07546155950234
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,1,3.141592653589793,4.577616639691162
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,2,6.283185307179586,18.31046655876465
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,3,9.42477796076938,41.19854975722046
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Simply supported,4,12.566370614359172,73.2418662350586
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,1,4.73004074,10.376943125473588
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,2,7.85320462,28.604443340330302
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,3,10.99560784,56.076146061665874
Steel,200000000000.0,7850,0.02,0.002,4e-05,1.3333333333333334e-11,1.0,Fixed–fixed,4,14.13716839,92.6967559537759
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),1,1.87510407,36.23914251501707
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),2,4.69409113,227.10682888747354
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),3,7.85475744,635.9056980994205
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Cantilever (fixed-free),4,10.99554073,1246.1213679889408
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,1,3.141592653589793,101.72481421535916
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,2,6.283185307179586,406.89925686143664
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,3,9.42477796076938,915.5233279382326
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Simply supported,4,12.566370614359172,1627.5970274457466
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,1,4.73004074,230.59873612163528
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,2,7.85320462,635.6542964517845
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,3,10.99560784,1246.1365791481305
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.3,Fixed–fixed,4,14.13716839,2059.927910083909
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),1,1.87510407,13.046091305406147
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),2,4.69409113,81.75845839949048
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),3,7.85475744,228.9260513157914
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Cantilever (fixed-free),4,10.99554073,448.6036924760187
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,1,3.141592653589793,36.6209331175293
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,2,6.283185307179586,146.4837324701172
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,3,9.42477796076938,329.5883980577637
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Simply supported,4,12.566370614359172,585.9349298804688
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,1,4.73004074,83.0155450037887
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,2,7.85320462,228.83554672264242
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,3,10.99560784,448.609168493327
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,0.5,Fixed–fixed,4,14.13716839,741.5740476302072
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),1,1.87510407,3.261522826351537
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),2,4.69409113,20.43961459987262
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),3,7.85475744,57.23151282894785
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Cantilever (fixed-free),4,10.99554073,112.15092311900467
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,1,3.141592653589793,9.155233279382324
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,2,6.283185307179586,36.6209331175293
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,3,9.42477796076938,82.39709951444092
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Simply supported,4,12.566370614359172,146.4837324701172
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,1,4.73004074,20.753886250947176
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,2,7.85320462,57.208886680660605
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,3,10.99560784,112.15229212333175
Steel,200000000000.0,7850,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,4,14.13716839,185.3935119075518
