omega0,Q,alpha,kind,A,dA_over_A
0.35,0.3,0.04,boost,0.010856917767600132,0.02050029694361101
0.35,0.3,0.06666666666666667,boost,0.011002317064261954,0.03416716157268529
0.35,0.3,0.09333333333333334,boost,0.011147716360923775,0.0478340262017594
0.35,0.3,0.12,boost,0.011293115657585595,0.061500890830833356
0.35,0.3,0.14666666666666667,boost,0.011438514954247414,0.07516775545990731
0.35,0.3,0.17333333333333334,boost,0.011583914250909239,0.08883462008898176
0.35,0.3,0.2,boost,0.011729313547571058,0.1025014847180557
0.35,0.3333333333333333,0.04,boost,0.010842937138066283,0.019186182118745284
0.35,0.3333333333333333,0.06666666666666667,boost,0.010979016015038869,0.0319769701979087
0.35,0.3333333333333333,0.09333333333333334,boost,0.011115094892011458,0.04476775827707244
0.35,0.3333333333333333,0.12,boost,0.011251173768984043,0.05755854635623569
0.35,0.3333333333333333,0.14666666666666667,boost,0.01138725264595663,0.07034933443539927
0.35,0.3333333333333333,0.17333333333333334,boost,0.011523331522929217,0.08314012251456268
0.35,0.3333333333333333,0.2,boost,0.011659410399901806,0.09593091059372642
0.35,0.36666666666666664,0.04,boost,0.010830606683122282,0.01802717610975128
0.35,0.36666666666666664,0.06666666666666667,boost,0.010958465256798871,0.030045293516252295
0.35,0.36666666666666664,0.09333333333333334,boost,0.011086323830475458,0.04206341092275315
0.35,0.36666666666666664,0.12,boost,0.011214182404152048,0.05408152832925433
0.35,0.36666666666666664,0.14666666666666667,boost,0.011342040977828633,0.06609964573575502
0.35,0.36666666666666664,0.17333333333333334,boost,0.011469899551505222,0.07811776314225603
0.35,0.36666666666666664,0.2,boost,0.011597758125181809,0.09013588054875689
0.35,0.4,0.04,boost,0.0108196666679742,0.016998865041530604
0.35,0.4,0.06666666666666667,boost,0.010940231898218732,0.02833144173588423
0.35,0.4,0.09333333333333334,boost,0.011060797128463265,0.03966401843023802
0.35,0.4,0.12,boost,0.011181362358707796,0.05099659512459165
0.35,0.4,0.14666666666666667,boost,0.011301927588952328,0.062329171818945275
0.35,0.4,0.17333333333333334,boost,0.01142249281919686,0.07366174851329907
0.35,0.4,0.2,boost,0.01154305804944139,0.08499432520765253
0.35,0.43333333333333335,0.04,boost,0.010809903871736292,0.01608120713225565
0.35,0.43333333333333335,0.06666666666666667,boost,0.01092396057115555,0.02680201188709259
0.35,0.43333333333333335,0.09333333333333334,boost,0.011038017270574811,0.03752281664192986
0.35,0.43333333333333335,0.12,boost,0.011152073969994071,0.04824362139676696
0.35,0.43333333333333335,0.14666666666666667,boost,0.011266130669413333,0.05896442615160422
0.35,0.43333333333333335,0.17333333333333334,boost,0.011380187368832595,0.06968523090644149
0.35,0.43333333333333335,0.2,boost,0.011494244068251853,0.08040603566127842
0.35,0.4666666666666667,0.04,boost,0.010801143468641557,0.015257769564532541
0.35,0.4666666666666667,0.06666666666666667,boost,0.010909359899330994,0.02542961594088757
0.35,0.4666666666666667,0.09333333333333334,boost,0.011017576330020432,0.03560146231724276
0.35,0.4666666666666667,0.12,boost,0.01112579276070987,0.04577330869359795
0.35,0.4666666666666667,0.14666666666666667,boost,0.011234009191399308,0.05594515506995298
0.35,0.4666666666666667,0.17333333333333334,boost,0.011342225622088746,0.06611700144630817
0.35,0.4666666666666667,0.2,boost,0.011450442052778183,0.0762888478226632
0.35,0.5,0.04,boost,0.010793241774745607,0.014515046708950164
0.35,0.5,0.06666666666666667,boost,0.01089619040950441,0.02419174451491694
0.35,0.5,0.09333333333333334,boost,0.010999139044263214,0.03386844232088388
0.35,0.5,0.12,boost,0.011102087679022016,0.04354514012685049
0.35,0.5,0.14666666666666667,boost,0.01120503631378082,0.053221837932817435
0.35,0.5,0.17333333333333334,boost,0.011307984948539625,0.06289853573878437
